entry,reco_asso_showers,reco_asso_tracks,reco_shower_energy_max,reco_shower_start_to_nearest_dead_wire_plane0,reco_shower_start_to_nearest_dead_wire_plane1,reco_shower_start_to_nearest_dead_wire_plane2,reco_shower_start_dist_to_SCB,reco_shower_conversion_distance,reco_shower_sliceId,reco_shower_nuscore,reco_shower_isclearcosmic,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_length,reco_shower_opening_angle,reco_shower_dirx,reco_shower_diry,reco_shower_dirz,reco_shower_implied_dirx,reco_shower_implied_diry,reco_shower_implied_dirz,reco_shower_dEdx_amalgamated,sss_num_unassociated_hits,sss_candidate_impact_parameter,sss_candidate_min_dist,sss_candidate_angle_to_shower,sss2d_ioc_ranked_angle_to_shower,sss3d_ioc_ranked_conv,sss3d_ioc_ranked_invar,sss3d_invar_ranked_implied_opang,sim_shower_pdg,sim_shower_overlay_fraction,sim_shower_matched
0,1.0,0,892.6517833727978,999999.0,999999.0,999999.0,27.994033813476562,0.695352132485112,0.0,0.0,0.0,0.001714362413622439,0.13108153694149136,0.2331665352995078,136.15719604492188,0.1344861090183258,0.4821712374687195,0.11450891196727753,0.8685610294342041,0.5711906692266421,0.7189504176366228,0.3960448413608573,4.76829135561547,353.0,6.96344067e-315,93.02183679419602,6.96344067e-315,6.96344067e-315,40.72895228607176,412.0690836864894,0.9829376473486722,-11.0,0.010880829015544042,1.0
1,1.0,0,330.95279134005415,999999.0,999999.0,999999.0,63.48091125488281,4.574118677963845,2.0,0.4478626251220703,0.0,0.003447467926889658,-0.15619823799421592,-0.23114557614970213,104.30120849609375,0.12901178002357483,0.5514136552810669,-0.12977634370326996,0.8240758776664734,0.512143596559046,-0.0413759652435824,0.8579026553191959,3.8811561075584047,175.0,-99999.0,-99999.0,-99999.0,-9.0,63.20249949692727,4.631801827638841,0.0389772318197632,11.0,0.008559201141226819,1.0
3,1.0,0,1335.275269390596,999999.0,999999.0,999999.0,14.43780517578125,24.387306083843324,1.0,0.0,0.0,0.017926421016454697,0.064232671996417,0.1565601920391375,64.373046875,0.31361323595046997,0.3766849637031555,0.05946047976613045,0.9244311451911926,0.581350877311622,0.17074615145379998,0.7955356115301963,3.7190199058342017,273.0,2.3651417320022e-310,0.13646839669050714,1.87888359e-315,1.87888359e-315,9.678653200582428,8.39843264083487,-0.9873562611610078,11.0,0.006394884092725819,1.0
12,1.0,0,257.4388661093652,999999.0,999999.0,999999.0,17.926481366014162,0.49907463281426684,1.0,0.80580073595047,0.0,0.06626009941101074,-0.12250329207045872,-0.21109770280006346,52.730316162109375,0.19713526964187622,0.4953611493110657,-0.10615108162164688,0.8621771931648254,0.6394280403586211,-0.6748329208566264,0.36841866148615204,2.6545297069171916,183.0,18.027632276007164,97.88216538438522,2.5250280593009213,2.800648787589614,18.49858792545293,31.66996832197555,0.10091183309622909,11.0,0.004024144869215292,1.0
13,1.0,0,2706.368583877699,999999.0,999999.0,999999.0,21.87163543701172,0.17176857192191627,0.0,0.8998245596885681,0.0,0.004521273076534271,0.06740681032367825,0.11712040881279878,203.633056640625,0.01654099114239216,0.49681782722473145,0.058455031365156174,0.8658838868141174,0.5290140984412894,0.48867262324897176,0.6937889815623467,5.278407677121489,313.0,29.970266870064883,29.28955256628618,0.2656392289526469,0.2656392289526469,25.96972364877691,68.83694535202189,0.8259876596799798,-11.0,0.00746448350589935,1.0
15,1.0,0,590.7487440001372,999999.0,999999.0,999999.0,12.127681732177734,0.18584579989103187,1.0,0.4232063293457031,0.0,0.02211800590157509,0.11274603444653597,0.19982834844357902,167.001220703125,0.05580412223935127,0.48560962080955505,0.09835116565227509,0.8686254620552063,0.46057583569235705,-0.15899549538841712,0.8732641822624346,3.955688395773655,518.0,0.19420780303677915,0.18283823160379042,0.0668304510850042,0.0668304510850042,18.014581461783028,19.20462881130952,-0.2456906454585599,-11.0,0.0,1.0
17,1.0,0,1293.3814586712492,999999.0,999999.0,999999.0,44.785606384277344,0.5133528298929895,1.0,0.8773744702339172,0.0,0.0019450526451691985,0.042400947314917115,0.07806035013562397,201.60009765625,0.07637882232666016,0.4764522910118103,0.03726775944232941,0.8784101605415344,0.4360999402192867,-0.8789917652744047,-0.19284791603883192,3.7314400715329152,355.0,43.956499723364935,45.67390866046857,0.2329215227752354,0.5875186562820693,39.809640429479586,677.206557418393,-0.8897388901615462,11.0,0.014092140921409214,1.0
22,1.0,0,979.1412387798592,999999.0,999999.0,999999.0,18.901199340820312,0.08328660330578283,1.0,0.8317967057228088,0.0,0.00020669099467340857,0.10367889996632418,0.18261216308970413,75.40924835205078,0.22196492552757263,0.4888851046562195,0.09028215706348419,0.8676638603210449,0.42568426348895283,-0.41249327275462766,-0.8053832676124109,4.514560567686614,38.0,-99999.0,-99999.0,-99999.0,-9.0,29.918719151476186,201.50812985831,-0.840363786568215,-11.0,0.00574300071787509,1.0
26,1.0,0,349.3953547556295,999999.0,999999.0,999999.0,23.807872310280807,1.5600079036627685,1.0,0.3076466917991638,0.0,0.005602214485406876,0.03807922252008687,0.04449006562429409,104.94554138183594,0.1656050831079483,0.6499102115631104,0.02893364056944847,0.7594602108001709,0.6065826983883642,0.056325186949437965,0.7930226373383056,1.907929464439163,543.0,1.796571185e-315,9.01178521222799,1.893219634e-315,1.893219634e-315,48.34711458137505,101.25627214379725,-0.31349329840553986,-11.0,0.013774104683195593,1.0
27,1.0,0,1080.2633757069427,999999.0,999999.0,999999.0,33.42455291748047,0.6393922456990836,2.0,0.9992978572845459,0.0,0.0001286532642552629,0.09954744389796878,0.2561830405743401,149.02923583984375,0.09240004420280457,0.3547387719154358,0.09291977435350418,0.9303366541862488,0.49662066208426664,-0.6545918525055451,0.5699801966948883,5.068604101303968,311.0,189.44239786204028,191.00506249559962,0.4785054186727377,0.4785054186727377,58.2419989947201,106.48132501929656,-0.34864211403659917,-11.0,0.025412087912087912,1.0
29,1.0,0,1635.854823084602,999999.0,999999.0,999999.0,91.42969512939453,7.11417555637336,1.0,0.13516603410243988,0.0,0.2559734284877777,0.05526886252411728,0.12368988637716626,175.8726348876953,0.14825932681560516,0.4060486853122711,0.05048182234168053,0.9124560952186584,0.28806420058015814,0.1662452330010602,0.9430702724869114,4.119793836839484,222.0,50.591308503061946,51.531759763901924,1.1219184432177813,1.1219184432177813,63.11594537526146,37.26953696718174,0.8666977121587969,-11.0,0.007807196198234894,1.0
30,1.0,0,1248.4914711386411,999999.0,999999.0,999999.0,88.923828125,163.62122250221432,4.0,0.0,0.0,0.029221339151263237,-0.08308039003043263,-0.13559515905359354,130.96385192871094,0.23865380883216858,0.5196685791015625,-0.070899598300457,0.8514211177825928,0.2786525772424164,0.038736718942877654,0.9596104458589952,5.658040446863026,947.0,0.0,0.0006316665862234592,0.0,0.0,76.75342436741084,55.14747334613914,0.012917231952309649,11.0,0.2679227941176471,1.0
40,1.0,0,240.19263413486084,999999.0,999999.0,999999.0,15.772552490234375,1.1046343452053307,4.0,0.9599102735519409,0.0,0.044077303260564804,0.07047201592690101,0.11307542743529411,49.83413314819336,0.1529533565044403,0.5269753932952881,0.059843238443136215,0.8477711081504822,0.3668846974196401,0.8517568060971814,0.3740400540937129,4.955470809005754,462.0,30.762741709494676,30.22469188287108,0.304390780061068,2.9918277376355293,28.1871778423066,59.392238760692074,-0.44123688525481564,-11.0,0.006263048016701462,1.0
46,1.0,0,130.436641653152,999999.0,999999.0,999999.0,7.8089141845703125,2.9508041278388673,2.0,0.8804088234901428,0.0,0.05254164710640907,-0.03327580414499776,-0.068327978864939,26.573917388916016,0.31937047839164734,0.4372233748435974,-0.029921168461441994,0.8988550305366516,0.3624396873044587,0.18099231695453502,0.9142643240715868,3.9220351341583055,206.0,34.705190908724354,82.46745495169438,0.8532463965316776,0.8532463965316776,18.27293995550767,9.66555082415298,-0.18098792959631416,-11.0,0.003436426116838488,1.0
47,1.0,0,922.350098879934,999999.0,999999.0,999999.0,63.0684814453125,8.09708612532282,0.0,0.9346243143081665,0.0,0.0018480602884665132,0.03970580477993767,0.07366322227031781,106.51792907714844,0.18180528283119202,0.4737173616886139,0.03495880216360092,0.8799828886985779,-0.055636416843566454,0.8908992426508142,-0.45078057696069235,3.4547985529892173,856.0,2.627446203254914,33.99576923690373,6.96344067e-315,0.5283437418457544,77.20381861667127,187.7442855825734,0.22110840641360774,-11.0,0.020676691729323307,1.0
52,1.0,0,256.03220863333917,999999.0,999999.0,999999.0,51.810150146484375,0.1748269291066102,3.0,0.9390556216239929,0.0,0.0019278682302683592,0.15942041455672468,0.3112617501088846,113.10182189941406,0.11350443214178085,0.44249409437179565,0.14235888421535492,0.8853999376296997,-0.24346587969801722,-0.8500140535504535,0.4671193361332813,2.5643228944847376,54.0,39.05667045926882,71.98367375727456,0.27702989968287745,0.27702989968287745,6.153515965627879,75.44292129639351,0.9334906348177792,11.0,0.010810810810810811,1.0
