run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
18622.000,54.000,2741.000,-0.000,-14622437014834134384640.000,115.868,36.854,0.117,0.480,-1.086,-1.786,0.223,0.346,0.004
14559.000,281.000,14084.000,-0.000,-14622437014834134384640.000,40.699,40.555,0.034,0.206,-1.502,-2.083,0.156,-0.071,0.002
16468.000,152.000,7620.000,-0.000,-14622437014834134384640.000,0.150,274.508,0.000,0.027,-1.471,-1.775,0.423,-0.022,0.009
15312.000,7.000,380.000,-0.000,-14622437014834134384640.000,18.361,544.761,0.826,0.020,-0.008,-0.007,0.153,0.720,0.290
15312.000,41.000,2089.000,-0.000,-14622437014834134384640.000,35.692,188.151,0.646,0.048,0.255,0.108,0.129,0.463,0.060
16340.000,147.000,7388.000,-0.000,-14622437014834134384640.000,0.408,45.859,0.054,0.194,-0.849,-2.172,0.371,0.476,0.003
14300.000,167.000,8376.000,-0.000,-14622437014834134384640.000,107.123,285.397,0.878,0.115,0.386,0.344,0.268,0.719,0.532
17985.000,347.000,17399.000,-0.000,-14622437014834134384640.000,26.792,311.021,0.134,0.031,1.424,2.337,0.054,0.127,0.003
15603.000,26.000,1328.000,-0.000,-14622437014834134384640.000,6.159,318.896,0.183,0.009,1.581,2.462,0.110,-0.001,0.003
14942.000,312.000,15640.000,-0.000,-14622437014834134384640.000,66.878,469.102,0.708,0.196,0.139,0.050,0.038,0.415,0.028
17070.000,150.000,7509.000,-0.000,-14622437014834134384640.000,5.774,179.278,0.632,0.151,-0.353,-0.333,0.105,0.688,0.110
16196.000,208.000,10421.000,-0.000,-14622437014834134384640.000,-99999.000,39.961,0.042,0.393,-0.955,-1.261,0.125,0.490,0.002
16196.000,241.000,12074.000,-0.000,-14622437014834134384640.000,20.999,652.420,0.386,0.007,-0.246,-0.527,0.151,0.894,0.158
16759.000,238.000,11914.000,-0.000,-14622437014834134384640.000,7.059,82.995,0.050,0.055,0.471,0.377,0.300,0.672,0.059
16759.000,249.000,12459.000,-0.000,-14622437014834134384640.000,0.036,39.435,0.000,0.224,-2.327,-1.217,0.145,-0.711,0.005
15450.000,227.000,11362.000,-0.000,-14622437014834134384640.000,4.420,327.070,0.641,0.009,-0.575,-0.650,0.115,0.675,0.049
17370.000,46.000,2312.000,-0.000,-14622437014834134384640.000,-99999.000,94.355,0.016,0.327,-1.787,-0.862,0.088,-0.192,0.004
17379.000,9.000,494.000,-0.000,-14622437014834134384640.000,7.563,80.814,0.227,0.114,0.481,0.691,0.176,0.848,0.263
17630.000,70.000,3526.000,-0.000,-14622437014834134384640.000,111.724,289.755,0.977,0.005,-0.750,-1.464,0.166,0.657,0.098
16141.000,19.000,997.000,-0.000,-14622437014834134384640.000,0.611,171.285,0.123,0.063,-1.947,-2.076,0.249,-0.448,0.010
16141.000,161.000,8070.000,-0.000,-14622437014834134384640.000,38.419,193.060,0.027,0.144,-1.773,-1.676,0.165,-0.310,0.008
17695.000,3.000,164.000,-0.000,-14622437014834134384640.000,-99999.000,162.144,0.058,0.207,-1.554,-1.296,0.042,-0.064,0.004
17152.000,80.000,4001.000,-0.000,-14622437014834134384640.000,81.647,95.797,0.103,0.168,-1.065,-2.029,0.364,0.325,0.009
15231.000,199.000,9953.000,-0.000,-14622437014834134384640.000,254.563,105.475,0.549,0.080,0.487,2.485,0.324,0.751,0.050
18663.000,72.000,3608.000,-0.000,-14622437014834134384640.000,0.115,1182.347,0.000,0.015,-2.488,-0.618,0.238,-0.595,0.012
18752.000,125.000,6292.000,-0.000,-14622437014834134384640.000,34.154,671.711,0.223,0.009,0.572,0.589,0.060,0.742,0.040
15799.000,25.000,1272.000,-0.000,-14622437014834134384640.000,0.710,824.242,0.997,0.008,-0.019,-0.064,0.262,0.971,0.661
17671.000,141.000,7097.000,-0.000,-14622437014834134384640.000,-99999.000,278.917,0.238,0.083,-0.072,-2.121,0.178,0.977,0.081
14261.000,10.000,539.000,-0.000,-14622437014834134384640.000,22.498,297.420,0.448,0.057,0.458,2.049,0.107,0.895,0.024
14261.000,49.000,2460.000,-0.000,-14622437014834134384640.000,93.986,20.579,0.014,0.070,0.343,1.048,0.168,0.967,0.043
16696.000,76.000,3820.000,-0.000,-14622437014834134384640.000,35.513,685.706,0.717,0.019,-0.017,-0.113,0.313,0.990,0.191
17742.000,1.000,66.000,-0.000,-14622437014834134384640.000,14.217,593.473,0.000,0.222,-0.706,-1.487,0.155,0.689,0.007
17742.000,4.000,202.000,-0.000,-14622437014834134384640.000,0.029,649.388,0.166,0.215,0.883,0.649,0.268,0.555,0.012
17413.000,226.000,11343.000,-0.000,-14622437014834134384640.000,10.597,20.942,0.142,0.297,-0.324,-0.375,0.172,0.754,0.024
16199.000,166.000,8337.000,-0.000,-14622437014834134384640.000,22.274,35.171,0.017,0.176,-2.200,-1.864,0.182,-0.669,0.007
16352.000,4.000,226.000,-0.000,-14622437014834134384640.000,64.776,273.800,0.000,0.113,0.656,1.011,0.221,0.822,0.152
16888.000,70.000,3545.000,-0.000,-14622437014834134384640.000,35.927,114.289,0.630,0.472,0.261,2.825,0.084,0.724,0.026
16888.000,398.000,19904.000,-0.000,-14622437014834134384640.000,-99999.000,338.960,0.022,0.009,-0.870,-2.301,0.190,0.416,0.006
15530.000,72.000,3601.000,-0.000,-14622437014834134384640.000,5.045,281.223,0.377,0.014,0.817,0.641,0.234,0.596,0.070
15530.000,72.000,3611.000,-0.000,-14622437014834134384640.000,15.387,358.493,0.459,0.019,0.839,1.186,0.086,0.733,0.021
16065.000,43.000,2166.000,-0.000,-14622437014834134384640.000,-99999.000,65.147,0.174,0.164,-0.663,-0.554,0.156,0.563,0.016
15496.000,95.000,4765.000,-0.000,-14622437014834134384640.000,13.122,752.015,0.893,0.004,-0.087,-0.064,0.062,0.646,0.063
15496.000,96.000,4820.000,-0.000,-14622437014834134384640.000,-99999.000,206.056,0.000,0.254,0.548,1.831,0.371,0.882,0.022
18497.000,298.000,14945.000,-0.000,-14622437014834134384640.000,14.224,295.988,0.016,0.121,-2.760,-0.830,0.065,-0.883,0.021
15917.000,203.000,10169.000,-0.000,-14622437014834134384640.000,21.600,791.320,0.473,0.031,-0.652,-1.129,0.370,0.717,0.030
15917.000,435.000,21783.000,-0.000,-14622437014834134384640.000,24.326,387.627,0.366,0.005,0.736,1.008,0.169,0.773,0.034
16834.000,95.000,4773.000,-0.000,-14622437014834134384640.000,7.456,136.918,0.021,0.171,1.115,0.547,0.147,0.364,0.007
18574.000,283.000,14159.000,-0.000,-14622437014834134384640.000,-99999.000,43.440,0.261,0.151,1.011,2.832,0.421,0.143,0.014
18574.000,297.000,14894.000,-0.000,-14622437014834134384640.000,37.753,360.442,0.700,0.002,-1.345,-1.590,0.312,0.117,0.008
17169.000,226.000,11314.000,-0.000,-14622437014834134384640.000,-99999.000,108.349,0.150,0.084,-2.827,-2.880,0.140,-0.697,0.098
16150.000,45.000,2291.000,-0.000,-14622437014834134384640.000,14.973,315.921,0.872,0.003,-0.748,-0.623,0.097,0.529,0.073
16526.000,65.000,3293.000,-0.000,-14622437014834134384640.000,0.211,96.490,0.000,0.012,-0.340,-2.843,0.124,0.552,0.010
15799.000,40.000,2013.000,-0.000,-14622437014834134384640.000,110.516,85.248,0.101,0.452,1.318,0.863,0.065,0.321,0.017
18786.000,51.000,2567.000,-0.000,-14622437014834134384640.000,51.455,1016.966,0.651,0.003,-0.071,-0.214,0.141,0.957,0.666
14673.000,41.000,2089.000,-0.000,-14622437014834134384640.000,16.701,52.119,0.027,0.492,1.183,0.992,0.094,0.446,0.005
15478.000,349.000,17459.000,-0.000,-14622437014834134384640.000,61.088,375.421,0.496,0.032,0.454,1.205,0.202,0.937,0.207
15297.000,1.000,83.000,-0.000,-14622437014834134384640.000,32.828,121.960,0.114,0.205,1.395,2.606,0.140,0.076,0.006
14336.000,43.000,2154.000,-0.000,-14622437014834134384640.000,0.061,995.266,0.000,0.011,0.963,1.000,0.279,0.615,0.036
14817.000,55.000,2785.000,-0.000,-14622437014834134384640.000,0.166,160.725,0.000,0.220,-0.543,-0.574,0.353,0.669,0.020
14817.000,55.000,2786.000,-0.000,-14622437014834134384640.000,18.841,28.011,0.078,0.090,-1.676,-2.190,0.220,-0.217,0.002
15351.000,13.000,681.000,-0.000,-14622437014834134384640.000,31.293,536.071,0.933,0.003,-0.368,-0.272,0.653,0.605,0.144
15351.000,47.000,2379.000,-0.000,-14622437014834134384640.000,50.196,74.611,0.077,0.306,0.994,2.673,0.301,0.258,0.008
15031.000,38.000,1914.000,-0.000,-14622437014834134384640.000,33.999,421.402,0.071,0.376,1.364,1.658,0.021,0.300,0.005
16023.000,52.000,2649.000,-0.000,-14622437014834134384640.000,-99999.000,115.226,0.064,0.090,1.768,2.523,0.023,-0.117,0.007
18054.000,238.000,11943.000,-0.000,-14622437014834134384640.000,-99999.000,145.736,0.356,0.412,-1.986,-1.340,0.082,-0.470,0.007
18054.000,387.000,19390.000,-0.000,-14622437014834134384640.000,5.664,142.115,0.269,0.146,0.975,0.966,0.190,0.598,0.024
16227.000,40.000,2002.000,-0.000,-14622437014834134384640.000,136.273,32.105,0.019,0.294,1.168,1.788,0.111,0.460,0.003
16227.000,270.000,13505.000,-0.000,-14622437014834134384640.000,68.902,111.465,0.202,0.079,0.761,1.393,0.320,0.795,0.081
16051.000,144.000,7235.000,-0.000,-14622437014834134384640.000,5.785,115.713,0.000,0.239,-0.828,-1.616,0.312,0.590,0.006
16051.000,209.000,10451.000,-0.000,-14622437014834134384640.000,-99999.000,668.448,0.818,0.015,-0.211,-0.317,0.051,0.841,0.094
14425.000,102.000,5129.000,-0.000,-14622437014834134384640.000,60.674,49.964,0.246,0.445,0.001,3.141,0.137,0.742,0.026
14425.000,126.000,6318.000,-0.000,-14622437014834134384640.000,27.884,532.780,0.934,0.072,-0.353,-1.134,0.318,0.895,0.087
15167.000,164.000,8202.000,-0.000,-14622437014834134384640.000,11.508,117.159,0.411,0.233,-0.312,-0.673,0.025,0.878,0.072
18760.000,25.000,1290.000,-0.000,-14622437014834134384640.000,-99999.000,46.975,0.087,0.189,-1.585,-1.868,0.183,-0.138,0.004
17559.000,51.000,2596.000,-0.000,-14622437014834134384640.000,37.260,551.375,0.683,0.003,0.226,0.279,0.144,0.828,0.697
15147.000,59.000,2986.000,-0.000,-14622437014834134384640.000,49.090,23.460,0.037,0.288,0.979,1.993,0.217,0.573,0.006
17965.000,41.000,2090.000,-0.000,-14622437014834134384640.000,44.915,783.743,0.997,0.027,-0.163,-2.765,0.225,0.859,0.051
17965.000,188.000,9447.000,-0.000,-14622437014834134384640.000,43.350,939.147,0.588,0.003,-0.071,-0.088,0.125,0.814,0.629
15792.000,124.000,6229.000,-0.000,-14622437014834134384640.000,14.854,223.482,0.028,0.064,-0.365,-1.824,0.363,0.877,0.034
18054.000,507.000,25399.000,-0.000,-14622437014834134384640.000,20.427,50.173,0.007,0.382,1.282,1.567,0.242,0.384,0.002
16188.000,50.000,2538.000,-0.000,-14622437014834134384640.000,-99999.000,409.181,0.839,0.034,-3.106,-3.037,0.077,-0.968,0.753
16188.000,131.000,6593.000,-0.000,-14622437014834134384640.000,17.707,850.883,0.028,0.003,-1.355,-1.736,0.198,0.094,0.004
16551.000,22.000,1124.000,-0.000,-14622437014834134384640.000,99.313,120.250,0.114,0.074,0.110,2.991,0.028,0.760,0.022
16551.000,78.000,3920.000,-0.000,-14622437014834134384640.000,60.581,83.325,0.000,0.256,2.622,1.321,0.409,-0.792,0.085
17460.000,50.000,2513.000,-0.000,-14622437014834134384640.000,26.972,70.940,0.108,0.085,2.444,1.697,0.172,-0.695,0.026
17460.000,50.000,2520.000,-0.000,-14622437014834134384640.000,0.122,557.685,0.000,0.008,-0.211,-0.619,0.106,0.931,0.115
15862.000,197.000,9875.000,-10587071020017909760.000,0.000,0.229,55.200,0.027,0.218,1.341,1.264,0.275,0.338,0.005
15862.000,200.000,10010.000,-10587071020017909760.000,0.000,4.277,252.987,0.000,0.403,-0.857,-1.593,0.193,0.567,0.004
17956.000,316.000,15848.000,-0.000,-14622437014834134384640.000,81.183,736.208,0.302,0.033,-1.486,-1.442,0.665,-0.012,0.016
17129.000,46.000,2315.000,-0.000,-14622437014834134384640.000,9.491,35.580,0.264,0.368,-2.755,-0.929,0.071,-0.901,0.009
15799.000,173.000,8690.000,-0.000,-14622437014834134384640.000,31.680,452.879,0.848,0.011,-0.103,-2.132,0.173,0.968,0.103
18929.000,426.000,21315.000,-0.000,-14622437014834134384640.000,91.544,418.745,0.468,0.381,-0.051,-1.706,0.323,0.984,0.015
18929.000,426.000,21334.000,-0.000,-14622437014834134384640.000,-99999.000,428.082,0.886,0.114,-0.125,-0.995,0.149,0.973,0.156
14825.000,8.000,404.000,-0.000,-14622437014834134384640.000,164.314,275.441,0.151,0.014,0.192,0.475,0.104,0.959,0.848
15102.000,84.000,4212.000,-0.000,-14622437014834134384640.000,0.177,139.485,0.048,0.011,1.216,2.112,0.234,0.348,0.007
18752.000,511.000,25558.000,-0.000,-14622437014834134384640.000,66.739,98.552,0.348,0.388,0.292,0.418,0.072,0.865,0.401
16066.000,43.000,2191.000,-0.000,-14622437014834134384640.000,126.339,160.664,0.000,0.487,-0.679,-0.754,0.187,0.629,0.035
14539.000,165.000,8287.000,-0.000,-14622437014834134384640.000,-99999.000,172.568,0.045,0.406,0.233,2.065,0.286,0.972,0.028
17394.000,139.000,6953.000,-0.000,-14622437014834134384640.000,-99999.000,143.563,0.040,0.074,1.742,2.199,0.123,-0.098,0.004
14760.000,188.000,9423.000,-0.000,-14622437014834134384640.000,33.668,1408.269,0.858,0.005,-0.305,-0.398,0.111,0.789,0.150
16676.000,56.000,2821.000,-0.000,-14622437014834134384640.000,12.300,35.530,0.131,0.235,0.033,0.129,0.387,0.983,0.064
15291.000,1.000,74.000,-0.000,-14622437014834134384640.000,123.712,139.098,0.902,0.476,-0.074,-0.128,0.128,0.888,0.871
18220.000,119.000,5959.000,-0.000,-14622437014834134384640.000,12.962,168.057,0.103,0.359,1.704,1.516,0.390,-0.022,0.006
14338.000,148.000,7407.000,-0.000,-14622437014834134384640.000,0.121,402.677,0.000,0.000,1.293,1.251,0.234,0.380,0.007
14631.000,58.000,2913.000,-0.000,-14622437014834134384640.000,-99999.000,328.457,0.044,0.000,-1.272,-0.428,0.056,0.153,0.009
14631.000,171.000,8576.000,-0.000,-14622437014834134384640.000,74.850,32.299,0.090,0.441,1.486,1.982,0.105,0.143,0.003
14592.000,62.000,3110.000,-0.000,-14622437014834134384640.000,48.805,245.964,0.192,0.049,-2.335,-2.741,0.095,-0.454,0.009
14727.000,85.000,4262.000,-0.000,-14622437014834134384640.000,71.592,32.625,0.029,0.110,1.918,2.051,0.295,-0.248,0.003
15965.000,150.000,7539.000,-0.000,-14622437014834134384640.000,5.076,226.137,0.191,0.396,-0.251,-3.101,0.063,0.074,0.004
15828.000,190.000,9517.000,-0.000,-14622437014834134384640.000,0.041,522.645,0.000,0.000,0.328,0.626,0.071,0.921,0.646
17327.000,128.000,6402.000,-0.000,-14622437014834134384640.000,-99999.000,98.768,0.712,0.019,0.871,2.136,0.183,0.613,0.030
17327.000,128.000,6414.000,-0.000,-14622437014834134384640.000,5.797,68.982,0.171,0.154,-0.503,-1.513,0.560,0.819,0.056
15930.000,98.000,4920.000,-0.000,-14622437014834134384640.000,65.223,53.131,0.072,0.201,0.010,3.132,0.360,0.617,0.030
17308.000,159.000,7972.000,-0.000,-14622437014834134384640.000,-99999.000,207.489,0.190,0.050,-1.543,-0.330,0.133,0.049,0.013
18032.000,564.000,28242.000,-10587071020017909760.000,0.000,16.693,98.388,0.127,0.320,-2.312,-2.706,0.078,-0.466,0.006
14882.000,64.000,3225.000,-0.000,-14622437014834134384640.000,9.515,267.069,0.720,0.000,-0.423,-1.464,0.080,0.863,0.032
18779.000,500.000,25024.000,-0.000,-14622437014834134384640.000,68.352,151.798,0.013,0.106,-1.387,-1.795,0.102,0.057,0.006
14290.000,272.000,13611.000,-0.000,-14622437014834134384640.000,-99999.000,125.476,0.067,0.271,-1.101,-0.819,0.049,0.323,0.006
15901.000,322.000,16102.000,-0.000,-14622437014834134384640.000,9.270,64.681,0.004,0.285,-1.697,-1.456,0.109,-0.220,0.007
15901.000,333.000,16677.000,-0.000,-14622437014834134384640.000,27.433,74.090,0.992,0.379,-0.400,-0.636,0.204,0.808,0.545
17990.000,98.000,4927.000,-0.000,-14622437014834134384640.000,4.131,95.940,0.152,0.329,1.644,1.983,0.232,-0.001,0.005
17990.000,307.000,15376.000,-0.000,-14622437014834134384640.000,33.686,362.945,0.029,0.003,-0.532,-0.189,0.167,0.356,0.020
14914.000,40.000,2030.000,-0.000,-14622437014834134384640.000,8.046,122.700,0.000,0.007,-2.401,-0.787,0.453,-0.622,0.109
14607.000,269.000,13472.000,-0.000,-14622437014834134384640.000,19.656,217.709,0.056,0.091,0.821,0.418,0.122,0.459,0.014
17489.000,165.000,8279.000,-0.000,-14622437014834134384640.000,36.800,134.700,0.000,0.101,0.422,0.640,0.266,0.869,0.455
16266.000,211.000,10580.000,-0.000,-14622437014834134384640.000,50.582,28.464,0.014,0.053,-1.333,-1.270,0.349,0.147,0.003
15466.000,154.000,7725.000,-0.000,-14622437014834134384640.000,32.390,1038.773,1.000,0.003,0.286,0.727,0.082,0.959,0.607
14924.000,50.000,2537.000,-0.000,-14622437014834134384640.000,47.365,166.786,0.124,0.445,1.031,1.174,0.113,0.592,0.021
18623.000,135.000,6795.000,-0.000,-14622437014834134384640.000,125.612,1070.800,0.000,0.007,0.382,0.651,0.117,0.896,0.631
14607.000,23.000,1179.000,-0.000,-14622437014834134384640.000,-99999.000,468.415,0.385,0.036,-0.496,-1.243,0.269,0.823,0.032
17687.000,10.000,547.000,-0.000,-14622437014834134384640.000,20.449,25.806,0.069,0.390,1.128,1.559,0.322,0.521,0.003
14375.000,162.000,8143.000,-0.000,-14622437014834134384640.000,21.944,158.874,0.708,0.312,-0.360,-2.751,0.103,0.625,0.022
15677.000,329.000,16486.000,-0.000,-14622437014834134384640.000,471.090,28.315,0.263,0.023,-0.208,-0.146,0.296,0.615,0.020
16731.000,141.000,7052.000,-0.000,-14622437014834134384640.000,70.656,98.918,0.015,0.172,-0.196,-0.683,0.066,0.944,0.173
16731.000,141.000,7054.000,-0.000,-14622437014834134384640.000,4.971,295.128,0.082,0.004,0.776,1.416,0.195,0.786,0.018
16947.000,274.000,13702.000,-0.000,-14622437014834134384640.000,-99999.000,76.876,0.100,0.104,1.656,1.518,0.485,0.025,0.012
15639.000,150.000,7506.000,-0.000,-14622437014834134384640.000,0.059,527.144,0.000,0.142,0.836,1.152,0.205,0.730,0.027
16036.000,461.000,23098.000,-14747.215,-2344335872.000,32.756,44.013,0.666,0.098,0.400,0.278,0.238,0.628,0.037
15909.000,250.000,12522.000,-0.000,-14622437014834134384640.000,0.130,39.548,0.067,0.199,-1.532,-1.963,0.245,-0.093,0.003
17440.000,130.000,6525.000,-0.000,-14622437014834134384640.000,92.826,23.466,0.089,0.400,0.861,2.885,0.196,0.162,0.007
17440.000,130.000,6536.000,-0.000,-14622437014834134384640.000,33.269,81.162,0.077,0.055,2.040,1.051,0.213,-0.278,0.013
18701.000,48.000,2444.000,-0.000,-14622437014834134384640.000,87.499,124.621,0.054,0.465,-1.768,-0.782,0.352,-0.157,0.018
18701.000,278.000,13912.000,-0.000,-14622437014834134384640.000,-99999.000,558.153,0.102,0.404,0.450,2.124,0.268,0.886,0.021
18732.000,11.000,552.000,-0.000,-14622437014834134384640.000,6.332,27.452,0.011,0.285,1.496,1.302,0.273,0.194,0.003
