sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
75.516,78.086,0.066,0.346,1.404,1.610,0.127,0.266,0.016
42.748,1143.591,0.014,0.006,-0.913,-1.180,0.061,0.521,0.004
92.972,202.308,0.071,0.351,-1.181,-2.189,0.047,0.189,0.008
92.563,921.104,0.003,0.435,-1.484,-1.236,0.018,0.008,0.006
4.055,52.561,0.146,0.182,0.828,0.626,0.204,0.581,0.022
16.564,57.333,0.062,0.218,3.016,2.480,0.601,-0.970,0.345
118.966,21.759,0.033,0.357,1.255,1.890,0.166,0.366,0.004
46.660,175.713,0.039,0.063,1.691,1.433,0.122,-0.003,0.009
49.434,2389.213,0.000,0.008,-1.977,-1.995,0.037,-0.482,0.003
-99999.000,206.358,0.046,0.497,-1.557,-1.720,0.014,-0.103,0.005
0.079,619.034,0.000,0.161,-1.325,-2.570,0.034,0.010,0.002
19.499,30.966,0.022,0.219,1.894,0.844,0.656,-0.113,0.016
53.929,48.852,0.182,0.493,1.028,1.003,0.166,0.567,0.012
-99999.000,42.649,0.210,0.276,-1.982,-1.355,0.240,-0.468,0.005
15.432,191.155,0.068,0.008,1.797,1.260,0.114,-0.090,0.007
22.948,57.867,0.562,0.073,0.478,2.297,0.218,0.830,0.033
150.619,91.670,0.010,0.373,-0.853,-1.167,0.121,0.568,0.011
87.553,24.453,0.550,0.068,1.279,1.648,0.634,0.380,0.047
249.582,142.650,0.020,0.140,-0.983,-1.879,0.178,0.426,0.003
70.886,36.374,0.020,0.254,-1.401,-1.618,0.269,0.060,0.002
103.651,160.852,0.054,0.110,-1.498,-1.685,0.060,-0.043,0.009
47.741,861.497,0.008,0.324,-1.527,-1.478,0.325,-0.055,0.004
123.541,22.521,0.729,0.465,0.665,0.842,0.117,0.779,0.159
39.459,297.672,0.135,0.007,0.928,1.330,0.267,0.682,0.024
0.100,433.193,0.002,0.148,1.427,1.538,0.194,0.249,0.004
14.587,4852.018,0.000,0.053,1.679,1.996,0.042,-0.034,0.002
38.753,237.572,0.855,0.094,3.037,2.983,0.283,-0.858,0.189
0.161,53.744,0.000,0.000,-2.259,-2.123,0.441,-0.676,0.086
99.314,69.089,0.014,0.358,-1.342,-1.368,0.104,0.134,0.007
5.159,1833.076,0.118,0.004,0.534,2.048,0.203,0.857,0.010
45.408,128.911,0.044,0.290,1.502,1.961,0.038,0.131,0.004
156.302,12.734,0.097,0.236,-1.343,-0.251,0.259,0.107,0.005
-99999.000,59.729,0.149,0.311,2.282,2.366,0.175,-0.497,0.006
2.374,63.736,0.083,0.333,-0.869,-1.366,0.053,0.564,0.011
5.061,131.275,0.130,0.295,-2.632,-2.396,0.194,-0.847,0.043
27.510,80.349,0.013,0.426,-2.358,-0.981,0.303,-0.669,0.010
34.623,132.538,0.022,0.112,-1.758,-1.923,0.140,-0.299,0.007
156.120,564.860,0.008,0.103,-1.295,-2.300,0.018,0.076,0.004
-99999.000,29.605,0.121,0.005,-2.490,-2.313,0.215,-0.784,0.033
-99999.000,646.797,0.000,0.072,1.496,1.761,0.201,0.162,0.004
133.647,54.769,0.158,0.133,0.830,1.660,0.171,0.740,0.035
6.705,202.993,0.000,0.259,1.487,1.583,0.085,0.188,0.003
-99999.000,265.706,0.047,0.321,1.167,1.587,0.162,0.486,0.005
123.844,45.803,0.010,0.053,-1.889,-1.403,0.320,-0.393,0.003
54.586,52.022,0.023,0.056,-1.534,-1.345,0.334,-0.050,0.004
20.269,38.142,0.091,0.184,1.118,1.299,0.358,0.532,0.003
38.873,51.591,0.111,0.058,-1.454,-1.213,0.420,0.037,0.025
131.820,30.521,0.088,0.397,-0.802,-0.619,0.194,0.488,0.005
-99999.000,87.468,0.086,0.375,-1.175,-1.179,0.088,0.294,0.007
205.182,86.117,0.045,0.071,-0.942,-2.201,0.228,0.388,0.007
-99999.000,127.580,0.014,0.349,-1.045,-1.552,0.288,0.407,0.003
0.069,204.264,0.002,0.220,1.685,0.461,0.341,0.067,0.006
6.595,118.153,0.014,0.016,-0.809,-1.842,0.074,0.580,0.006
138.142,303.428,0.019,0.008,-0.805,-2.261,0.438,0.485,0.012
61.631,112.120,0.298,0.466,-0.801,-2.215,0.182,0.503,0.015
7.422,53.601,0.074,0.408,3.140,3.141,0.072,-0.394,0.011
65.153,158.234,0.006,0.012,-1.064,-1.761,0.070,0.370,0.009
17.324,60.440,0.009,0.113,1.596,1.690,0.098,0.071,0.004
208.758,120.259,0.025,0.208,-1.381,-0.461,0.050,0.108,0.008
57.748,25.779,0.031,0.486,-1.572,-1.119,0.147,-0.062,0.004
0.041,160.785,0.000,0.050,1.173,1.188,0.132,0.479,0.010
0.749,755.850,0.244,0.002,-1.588,-1.503,0.039,-0.117,0.003
164.117,113.275,0.009,0.098,-1.025,-1.191,0.326,0.427,0.009
-99999.000,27.384,0.048,0.487,-1.479,-1.404,0.128,-0.002,0.003
54.278,165.312,0.000,0.042,-0.746,-1.611,0.250,0.654,0.014
39.301,157.108,0.156,0.046,-1.886,-2.085,0.205,-0.397,0.008
-99999.000,80.726,0.115,0.214,-2.690,-2.906,0.179,-0.521,0.018
103.977,30.766,0.008,0.168,-0.782,-1.916,0.326,0.590,0.003
94.163,103.957,0.015,0.071,-1.012,-1.389,0.562,0.442,0.021
-99999.000,100.111,0.039,0.303,1.755,1.294,0.086,-0.053,0.004
44.689,34.895,0.030,0.079,0.798,2.126,0.183,0.670,0.008
26.673,96.195,0.027,0.391,-2.054,-1.081,0.028,-0.468,0.005
6.895,48.184,0.136,0.395,0.777,1.891,0.161,0.743,0.007
7.531,35.146,0.080,0.496,-1.128,-1.303,0.165,0.338,0.004
16.190,76.549,0.137,0.334,1.970,1.243,0.069,-0.251,0.005
0.117,122.482,0.000,0.118,2.195,2.358,0.091,-0.432,0.004
55.937,196.144,0.153,0.269,-1.538,-1.203,0.031,-0.040,0.007
87.006,208.862,0.000,0.152,-1.239,-1.628,0.076,0.218,0.007
44.757,91.414,0.054,0.129,-1.008,-0.892,0.278,0.407,0.011
161.548,100.521,0.014,0.208,-1.436,-1.726,0.357,0.015,0.005
-99999.000,52.708,0.090,0.185,0.872,1.511,0.343,0.722,0.017
25.836,47.702,0.040,0.330,-2.953,-0.430,0.183,-0.890,0.019
20.460,81.920,0.272,0.285,1.197,1.794,0.261,0.435,0.009
11.679,171.526,0.146,0.352,-0.588,-2.877,0.431,0.266,0.017
164.635,34.286,0.222,0.430,2.750,1.394,0.193,-0.868,0.009
13.915,547.172,0.013,0.001,-1.204,-1.268,0.107,0.268,0.004
14.383,174.385,0.010,0.039,-1.462,-2.327,0.080,-0.053,0.005
5.435,110.772,0.015,0.161,-1.213,-1.965,0.096,0.203,0.005
2.107,941.235,0.061,0.016,-1.456,-1.562,0.412,0.009,0.010
0.224,88.132,0.000,0.000,2.205,0.859,0.324,-0.367,0.009
83.411,594.387,0.012,0.366,1.506,2.030,0.010,0.118,0.005
82.135,19.146,0.012,0.158,-1.201,-1.437,0.285,0.267,0.003
0.021,244.423,0.000,0.009,1.440,1.640,0.656,0.228,0.015
0.133,35.421,0.000,0.413,2.251,0.839,0.105,-0.398,0.002
77.455,108.684,0.007,0.053,-2.103,-2.234,0.094,-0.537,0.012
21.767,123.397,0.081,0.027,-1.640,-1.240,0.165,-0.139,0.010
17.179,458.418,0.070,0.002,-1.190,-1.856,0.133,0.240,0.005
0.143,125.106,0.010,0.022,-1.717,-2.565,0.587,-0.203,0.014
4.618,61.293,0.000,0.003,0.175,2.434,0.534,0.959,0.036
0.150,88.825,0.000,0.288,2.567,1.235,0.153,-0.746,0.009
25.841,243.813,0.018,0.014,-1.460,-1.830,0.108,-0.016,0.005
-99999.000,124.127,0.099,0.093,-2.056,-1.844,0.148,-0.559,0.011
16.620,902.365,0.000,0.078,-1.581,-1.598,0.006,-0.118,0.003
15.369,57.343,0.084,0.132,1.403,1.057,0.407,0.274,0.011
-99999.000,49.298,0.085,0.078,-1.606,-2.076,0.201,-0.161,0.004
8.157,95.588,0.009,0.152,-1.602,-1.430,0.170,-0.124,0.006
9.956,34.303,0.022,0.091,1.355,2.204,0.273,0.211,0.002
225.520,83.511,0.010,0.123,-1.053,-1.911,0.026,0.357,0.005
18.972,197.792,0.000,0.015,2.353,1.226,0.329,-0.584,0.010
15.276,502.297,0.038,0.042,1.362,1.389,0.338,0.318,0.005
11.766,292.363,0.015,0.006,-1.205,-1.042,0.068,0.262,0.005
272.715,113.602,0.009,0.454,-2.260,-0.959,0.109,-0.589,0.005
68.366,45.232,0.621,0.045,0.029,0.246,0.389,0.996,0.062
4.396,206.195,0.008,0.054,-1.643,-1.243,0.041,-0.143,0.003
4.085,771.355,0.164,0.013,-1.919,-1.904,0.361,-0.441,0.006
0.154,3322.687,0.000,0.104,-1.540,-2.001,0.283,-0.101,0.005
61.712,207.608,0.496,0.163,1.361,0.278,0.039,0.163,0.024
224.360,87.199,0.008,0.465,-1.315,-1.315,0.043,0.163,0.004
9.101,206.421,0.047,0.208,0.976,1.221,0.186,0.639,0.019
13.790,52.778,0.007,0.181,-1.808,-1.734,0.394,-0.344,0.006
47.087,374.903,0.009,0.159,-1.132,-1.528,0.245,0.328,0.004
11.823,33.811,0.047,0.452,-1.304,-1.968,0.118,0.117,0.002
33.066,999.909,0.027,0.069,1.141,2.661,0.031,0.185,0.003
9.470,131.205,0.025,0.123,-1.138,-1.210,0.683,0.328,0.019
52.449,54.954,0.036,0.304,1.373,1.285,0.220,0.309,0.007
36.854,666.970,0.008,0.037,-0.819,-0.816,0.202,0.538,0.009
43.356,107.326,0.011,0.479,-0.942,-1.292,0.060,0.502,0.007
19.656,201.086,0.010,0.036,-1.367,-1.497,0.044,0.102,0.003
0.090,86.854,0.000,0.376,-1.853,-1.348,0.177,-0.352,0.004
165.034,183.818,0.353,0.036,-0.316,-2.371,0.266,0.842,0.035
6.517,51.288,0.268,0.010,-2.092,-1.881,0.232,-0.585,0.007
109.883,16.019,0.059,0.253,0.630,1.010,0.457,0.837,0.116
10.764,144.562,0.019,0.077,-1.337,-1.386,0.292,0.139,0.004
2.912,661.030,0.000,0.005,1.086,0.439,0.075,0.330,0.008
47.130,205.420,0.000,0.002,-0.864,-1.651,0.244,0.557,0.006
0.233,287.057,0.000,0.466,-0.565,-2.520,0.043,0.578,0.004
24.771,9.178,0.085,0.308,-1.614,-0.313,0.310,0.029,0.004
25.361,42.420,0.002,0.078,-0.236,-2.723,0.356,0.794,0.005
-99999.000,56.603,0.031,0.171,-1.785,-2.546,0.162,-0.244,0.006
0.049,181.817,0.000,0.014,0.886,1.428,0.207,0.713,0.038
-99999.000,24.468,0.169,0.456,2.556,0.180,0.171,-0.165,0.005
-99999.000,124.189,0.000,0.065,1.341,1.959,0.289,0.277,0.006
17.971,664.814,0.025,0.003,-1.639,-1.197,0.102,-0.133,0.004
13.247,99.265,0.001,0.035,1.451,1.824,0.284,0.197,0.006
0.512,331.153,0.380,0.074,0.441,2.461,0.124,0.796,0.017
0.874,759.211,0.000,0.001,-1.667,-2.077,0.082,-0.214,0.004
26.065,23.039,0.046,0.477,1.594,0.116,0.436,0.088,0.022
242.023,150.681,0.000,0.037,0.871,1.194,0.265,0.712,0.084
56.627,44.661,0.006,0.097,-1.087,-1.540,0.280,0.369,0.002
4.165,44.061,0.214,0.466,-0.807,-0.917,0.123,0.571,0.007
-99999.000,162.276,0.036,0.204,0.503,1.491,0.098,0.922,0.020
57.184,51.575,0.095,0.097,0.703,0.758,0.227,0.726,0.058
-99999.000,78.690,0.052,0.194,-0.264,-2.623,0.262,0.812,0.019
45.466,35.675,0.058,0.226,1.334,1.184,0.166,0.341,0.004
139.961,133.988,0.006,0.380,-1.754,-1.303,0.100,-0.255,0.006
0.279,67.362,0.057,0.101,1.454,2.063,0.392,0.158,0.006
18.991,251.967,0.001,0.010,-1.267,-1.316,0.257,0.208,0.005
63.436,269.281,0.064,0.017,-1.049,-1.812,0.094,0.377,0.009
60.524,31.637,0.678,0.146,-0.022,-3.138,0.175,0.085,0.006
46.669,183.828,0.012,0.432,-1.750,-0.706,0.405,-0.124,0.017
173.558,190.328,0.007,0.327,1.597,1.447,0.273,0.089,0.011
22.497,66.212,0.211,0.444,0.785,1.027,0.083,0.745,0.031
0.034,262.711,0.000,0.003,-1.206,-1.695,0.082,0.243,0.005
0.006,83.342,0.000,0.247,0.363,1.851,0.095,0.951,0.018
70.871,70.164,0.020,0.163,-2.065,-1.207,0.118,-0.509,0.015
19.248,56.735,0.201,0.149,-1.605,-0.600,0.191,-0.014,0.007
12.233,117.318,0.007,0.116,-1.342,-1.822,0.155,0.098,0.005
18.781,448.040,0.025,0.255,2.106,1.136,0.150,-0.356,0.004
64.217,251.702,0.052,0.149,0.553,0.884,0.041,0.857,0.145
0.515,40.106,0.004,0.250,-1.873,-1.835,0.456,-0.404,0.019
-99999.000,726.968,0.009,0.000,-1.733,-1.737,0.307,-0.274,0.005
68.183,454.612,0.023,0.366,-1.807,-0.601,0.080,-0.128,0.006
-99999.000,47.269,0.011,0.300,-1.440,-0.788,0.103,0.073,0.002
29.330,107.828,0.048,0.369,-1.351,-2.788,0.018,-0.034,0.005
100.945,154.322,0.035,0.090,1.401,0.855,0.037,0.258,0.012
-99999.000,52.708,0.080,0.416,-1.726,-1.998,0.093,-0.268,0.006
0.106,3658.841,0.000,0.036,0.716,2.324,0.381,0.655,0.014
17.400,107.315,0.013,0.104,-1.629,-1.700,0.380,-0.172,0.005
9.323,90.212,0.096,0.313,1.354,2.187,0.145,0.216,0.005
96.216,154.272,0.043,0.220,-1.697,-2.613,0.149,-0.185,0.008
10.773,347.086,0.000,0.009,-1.276,-1.621,0.205,0.183,0.005
-99999.000,228.782,0.035,0.229,1.325,2.522,0.067,0.140,0.003
22.584,94.204,0.117,0.097,-2.070,-2.768,0.350,-0.304,0.011
0.114,30.102,0.000,0.026,1.542,1.640,0.295,0.128,0.003
18.337,359.088,0.000,0.347,1.691,1.575,0.008,-0.014,0.003
28.843,64.579,0.010,0.256,-1.039,-0.944,0.092,0.391,0.008
