run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
14299.000,20.000,1045.000,-0.000,-14622437014834134384640.000,41.305,183.932,0.869,0.178,0.254,0.756,0.057,0.973,0.539
16726.000,45.000,2251.000,-0.000,-14622437014834134384640.000,26.257,457.262,0.744,0.002,-0.377,-0.537,0.133,0.792,0.402
14938.000,1.000,95.000,-0.000,-14622437014834134384640.000,37.432,27.385,0.087,0.249,-1.589,-1.283,0.119,-0.097,0.003
17208.000,43.000,2153.000,-0.000,-14622437014834134384640.000,43.349,148.154,0.778,0.329,-0.449,-2.292,0.177,0.763,0.031
15916.000,387.000,19353.000,-0.000,-14622437014834134384640.000,0.076,338.984,0.000,0.353,0.725,1.709,0.504,0.801,0.027
17961.000,56.000,2830.000,-0.000,-14622437014834134384640.000,-99999.000,44.249,0.107,0.323,-2.323,-2.455,0.156,-0.616,0.008
16378.000,284.000,14218.000,-0.000,-14622437014834134384640.000,0.200,594.676,0.000,0.017,0.171,0.974,0.316,0.997,0.117
14623.000,121.000,6082.000,-0.000,-14622437014834134384640.000,69.992,380.260,0.399,0.054,0.368,1.119,0.109,0.962,0.147
18010.000,61.000,3096.000,-0.000,-14622437014834134384640.000,22.842,353.242,0.415,0.031,0.338,0.413,0.164,0.821,0.603
18010.000,275.000,13756.000,-0.000,-14622437014834134384640.000,0.100,236.003,0.000,0.020,-0.375,-2.794,0.259,0.565,0.008
18010.000,275.000,13772.000,-0.000,-14622437014834134384640.000,17.784,103.277,0.262,0.205,-0.476,-1.888,0.118,0.811,0.018
17978.000,49.000,2497.000,-0.000,-14622437014834134384640.000,-99999.000,499.595,0.836,0.000,-0.148,-0.176,0.147,0.793,0.598
18032.000,444.000,22207.000,-14747.215,-2344335872.000,130.788,141.066,0.112,0.224,-2.016,-1.808,0.249,-0.527,0.009
18032.000,444.000,22235.000,-14747.215,-2344335872.000,14.386,311.704,0.698,0.349,0.255,2.075,0.090,0.966,0.037
14746.000,127.000,6360.000,-0.000,-14622437014834134384640.000,16.874,208.947,0.557,0.471,-0.179,-0.433,0.011,0.921,0.237
16467.000,49.000,2452.000,-0.000,-14622437014834134384640.000,45.073,40.577,0.077,0.168,-1.045,-1.072,0.240,0.401,0.004
16467.000,150.000,7531.000,-0.000,-14622437014834134384640.000,65.587,88.357,0.099,0.048,-1.558,-1.582,0.695,-0.094,0.026
15927.000,208.000,10432.000,-0.000,-14622437014834134384640.000,22.131,223.303,0.096,0.017,-1.529,-0.766,0.089,0.012,0.009
14409.000,56.000,2827.000,-0.000,-14622437014834134384640.000,14.554,54.110,0.029,0.484,-1.980,-0.875,0.154,-0.342,0.005
15590.000,96.000,4813.000,-0.000,-14622437014834134384640.000,0.134,407.730,0.000,0.001,1.187,1.384,0.130,0.476,0.008
15106.000,29.000,1498.000,-0.000,-14622437014834134384640.000,34.721,303.158,0.465,0.029,0.094,0.172,0.176,0.915,0.976
18467.000,79.000,3965.000,-0.000,-14622437014834134384640.000,30.141,735.547,0.172,0.075,-0.356,-0.752,0.234,0.864,0.059
15701.000,214.000,10704.000,-0.000,-14622437014834134384640.000,0.630,399.731,0.000,0.070,0.310,2.401,0.153,0.901,0.021
17866.000,0.000,45.000,-0.000,-14622437014834134384640.000,52.727,446.334,0.357,0.002,-0.737,-0.575,0.151,0.517,0.023
17871.000,21.000,1090.000,-0.000,-14622437014834134384640.000,5.144,340.840,0.390,0.005,-0.217,-0.424,0.168,0.888,0.522
17364.000,38.000,1917.000,-0.000,-14622437014834134384640.000,9.036,307.207,0.698,0.017,0.489,1.522,0.126,0.927,0.029
17364.000,38.000,1919.000,-0.000,-14622437014834134384640.000,-99999.000,258.516,0.050,0.004,-2.756,-0.355,0.076,-0.617,0.057
17560.000,74.000,3742.000,-0.000,-14622437014834134384640.000,9.365,40.016,0.020,0.077,1.477,2.122,0.174,0.128,0.002
18234.000,104.000,5225.000,-0.000,-14622437014834134384640.000,0.138,117.914,0.000,0.162,0.460,2.246,0.099,0.855,0.012
15450.000,14.000,743.000,-0.000,-14622437014834134384640.000,10.747,194.976,0.009,0.046,-2.629,-0.410,0.059,-0.548,0.009
17447.000,47.000,2390.000,-0.000,-14622437014834134384640.000,25.723,297.107,0.500,0.014,0.701,1.011,0.086,0.795,0.035
18514.000,280.000,14009.000,-0.000,-14622437014834134384640.000,0.050,292.980,0.000,0.008,-0.099,-0.076,0.705,0.658,0.134
15496.000,56.000,2831.000,-0.000,-14622437014834134384640.000,31.608,80.214,0.136,0.125,0.663,1.687,0.292,0.839,0.029
15969.000,158.000,7909.000,-0.000,-14622437014834134384640.000,59.471,129.256,0.015,0.191,-0.843,-0.712,0.283,0.490,0.017
16437.000,37.000,1876.000,-0.000,-14622437014834134384640.000,14.509,117.671,0.088,0.046,-0.573,-2.203,0.276,0.692,0.013
16437.000,101.000,5079.000,-0.000,-14622437014834134384640.000,97.587,84.582,0.006,0.499,-1.048,-1.952,0.051,0.355,0.009
16060.000,151.000,7554.000,-0.000,-14622437014834134384640.000,197.841,86.880,0.038,0.072,2.145,1.165,0.118,-0.396,0.018
14741.000,179.000,8960.000,-0.000,-14622437014834134384640.000,8.631,44.729,0.120,0.343,0.901,1.687,0.306,0.689,0.006
18935.000,359.000,17968.000,-0.000,-14622437014834134384640.000,-99999.000,573.928,0.834,0.081,0.634,0.597,0.133,0.701,0.172
14139.000,220.000,11033.000,-0.000,-14622437014834134384640.000,108.649,80.586,0.615,0.049,0.022,3.132,0.211,0.330,0.029
15907.000,111.000,5554.000,-0.000,-14622437014834134384640.000,2.071,218.681,0.174,0.008,0.896,1.216,0.335,0.697,0.042
15301.000,12.000,602.000,-0.000,-14622437014834134384640.000,0.057,647.011,0.277,0.037,-0.910,-0.774,0.431,0.457,0.025
16331.000,102.000,5141.000,-0.000,-14622437014834134384640.000,37.120,247.055,0.725,0.194,0.047,2.994,0.114,0.924,0.120
15231.000,50.000,2516.000,-0.000,-14622437014834134384640.000,7.603,755.263,0.150,0.030,-1.982,-1.042,0.188,-0.398,0.005
