run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
16147.000,4.000,216.000,-0.000,-14622437014834134384640.000,0.162,84.702,0.000,0.021,-1.163,-0.799,0.286,0.273,0.008
16147.000,111.000,5583.000,-0.000,-14622437014834134384640.000,0.334,258.592,0.000,0.036,-0.208,-1.561,0.279,0.948,0.028
15910.000,130.000,6530.000,-0.000,-14622437014834134384640.000,77.241,41.645,0.690,0.157,0.140,0.638,0.275,0.994,0.227
15794.000,57.000,2878.000,-0.000,-14622437014834134384640.000,12.218,285.422,0.043,0.161,1.173,2.041,0.197,0.403,0.004
17084.000,11.000,577.000,-0.000,-14622437014834134384640.000,45.279,63.332,0.038,0.276,-1.279,-2.142,0.126,0.114,0.006
15529.000,321.000,16067.000,-0.000,-14622437014834134384640.000,73.498,195.505,0.017,0.130,-1.623,-1.410,0.097,-0.143,0.007
14965.000,121.000,6061.000,-0.000,-14622437014834134384640.000,-99999.000,91.764,0.000,0.182,-1.224,-1.268,0.330,0.250,0.004
16835.000,4.000,221.000,-0.000,-14622437014834134384640.000,7.994,787.403,0.000,0.000,1.330,1.669,0.482,0.330,0.006
17488.000,330.000,16510.000,-0.000,-14622437014834134384640.000,7.490,247.205,0.045,0.116,1.121,2.077,0.324,0.436,0.005
17126.000,116.000,5802.000,-0.000,-14622437014834134384640.000,24.364,854.947,0.000,0.006,-1.297,-2.567,0.182,0.027,0.005
15596.000,18.000,926.000,-0.000,-14622437014834134384640.000,12.843,243.597,0.243,0.099,0.480,0.636,0.038,0.829,0.186
17144.000,31.000,1573.000,-0.000,-14622437014834134384640.000,26.613,663.906,0.158,0.028,-0.399,-0.484,0.378,0.748,0.047
17144.000,121.000,6065.000,-0.000,-14622437014834134384640.000,42.117,950.977,0.892,0.005,-0.002,-0.005,0.141,0.955,0.922
17144.000,121.000,6087.000,-0.000,-14622437014834134384640.000,23.448,61.474,0.428,0.416,-0.302,-1.313,0.293,0.918,0.046
16493.000,94.000,4713.000,-0.000,-14622437014834134384640.000,38.317,218.211,0.164,0.004,-0.831,-0.833,0.071,0.534,0.010
15129.000,14.000,712.000,-0.000,-14622437014834134384640.000,5.538,157.397,0.270,0.040,0.167,3.097,0.174,0.182,0.006
15799.000,111.000,5572.000,-0.000,-14622437014834134384640.000,87.803,32.277,0.068,0.486,0.845,1.467,0.129,0.741,0.019
18059.000,3.000,182.000,-10587071020017909760.000,0.000,70.921,238.985,0.667,0.010,0.104,2.991,0.150,0.779,0.045
18059.000,3.000,184.000,-10587071020017909760.000,0.000,0.581,292.174,0.000,0.044,0.160,2.599,0.240,0.942,0.031
15147.000,59.000,2986.000,-0.000,-14622437014834134384640.000,49.090,23.460,0.037,0.288,0.979,1.993,0.217,0.573,0.006
17152.000,80.000,4001.000,-0.000,-14622437014834134384640.000,81.646,103.998,0.104,0.171,-1.064,-2.029,0.364,0.325,0.009
