sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
54.693,129.882,0.012,0.435,-2.178,-1.479,0.085,-0.645,0.008
60.671,523.398,0.047,0.013,-0.001,-0.001,0.207,0.912,0.973
68.950,1500.471,0.175,0.004,0.141,0.409,0.177,0.972,0.204
6.259,128.632,0.086,0.129,-2.144,-2.235,0.246,-0.567,0.010
0.431,93.566,0.005,0.144,1.419,1.498,0.172,0.260,0.004
160.606,102.282,0.457,0.073,-0.284,-2.994,0.144,0.363,0.008
17.458,176.686,0.105,0.017,0.597,2.385,0.112,0.715,0.014
61.547,251.064,0.235,0.032,-0.580,-0.431,0.043,0.556,0.018
11.755,455.553,0.973,0.003,0.044,0.269,0.185,0.995,0.327
7.524,33.738,0.129,0.377,-1.000,-1.380,0.135,0.453,0.002
-99999.000,154.763,0.102,0.142,1.561,1.424,0.197,0.126,0.008
-99999.000,38.157,0.186,0.233,-0.487,-2.211,0.260,0.754,0.007
47.530,61.611,0.049,0.281,-2.076,-1.687,0.182,-0.578,0.009
32.364,107.861,0.125,0.187,1.325,1.163,0.069,0.348,0.008
30.787,229.896,0.014,0.006,0.416,2.854,0.137,0.498,0.007
18.105,306.144,0.021,0.074,-1.495,-1.614,0.503,-0.034,0.017
26.746,182.554,0.612,0.011,0.359,1.373,0.069,0.968,0.072
161.171,65.585,0.308,0.187,0.479,1.047,0.136,0.918,0.226
4.212,184.557,0.172,0.082,0.609,0.588,0.105,0.714,0.075
64.329,261.016,0.791,0.077,0.136,0.233,0.129,0.904,0.943
33.576,153.047,0.901,0.032,0.743,0.699,0.425,0.674,0.287
-99999.000,377.051,0.297,0.003,1.440,1.012,0.058,0.241,0.007
9.301,337.830,0.834,0.004,0.222,0.447,0.158,0.933,0.865
27.514,257.075,0.219,0.021,-0.601,-2.828,0.109,0.308,0.005
13.008,178.595,0.134,0.013,1.637,2.044,0.243,-0.000,0.005
30.311,382.223,0.155,0.067,0.456,0.446,0.300,0.743,0.126
251.726,119.950,0.591,0.468,1.240,0.095,0.028,0.121,0.027
13.970,57.770,0.075,0.173,-2.321,-1.882,0.059,-0.751,0.019
17.085,33.805,0.366,0.432,3.066,2.925,0.131,-0.953,0.097
0.035,773.315,0.000,0.095,1.109,1.113,0.515,0.523,0.015
58.714,148.183,0.156,0.297,-0.356,-2.600,0.068,0.732,0.018
25.111,280.491,0.065,0.080,-1.177,-1.594,0.295,0.280,0.006
14.164,100.424,0.033,0.028,-1.348,-2.036,0.347,0.069,0.005
12.279,58.658,0.036,0.449,-1.279,-1.333,0.133,0.197,0.004
48.622,96.546,0.153,0.033,-0.768,-0.910,0.258,0.600,0.037
22.891,101.935,0.227,0.261,2.702,1.793,0.288,-0.855,0.038
13.634,365.233,0.924,0.001,0.430,2.441,0.107,0.812,0.019
-99999.000,83.827,0.025,0.457,1.091,1.731,0.072,0.535,0.004
40.731,128.825,0.010,0.211,-1.433,-0.945,0.037,0.071,0.005
0.077,106.787,0.000,0.363,-0.056,-0.095,0.035,0.888,0.189
56.330,229.078,0.817,0.008,0.366,1.009,0.113,0.957,0.270
93.990,929.558,0.995,0.012,-0.114,-0.415,0.412,0.961,0.118
8.808,50.280,0.711,0.092,0.233,0.486,0.334,0.938,0.209
12.096,44.708,0.162,0.349,-2.169,-1.230,0.141,-0.597,0.002
5.089,186.632,0.022,0.005,-1.047,-1.531,0.137,0.406,0.005
-99999.000,104.731,0.050,0.370,1.512,1.472,0.097,0.171,0.003
6.547,51.679,0.021,0.427,-0.851,-0.968,0.115,0.546,0.003
16.752,81.558,0.079,0.261,1.352,1.709,0.755,0.305,0.017
33.811,1284.555,0.781,0.011,0.291,0.601,0.038,0.934,0.231
58.999,913.860,0.942,0.012,-0.039,-0.082,0.057,0.923,0.944
5.295,172.411,0.223,0.129,0.428,0.222,0.107,0.522,0.015
31.019,1294.213,0.989,0.002,0.154,0.194,0.040,0.834,0.451
107.740,23.902,0.005,0.239,-1.369,-1.080,0.155,0.121,0.004
59.807,212.287,0.956,0.043,-0.588,-1.216,0.091,0.766,0.130
-99999.000,176.716,0.032,0.486,1.240,0.828,0.047,0.371,0.004
10.355,608.312,0.001,0.006,-1.447,-1.068,0.094,0.053,0.004
15.815,196.296,0.532,0.011,2.010,1.447,0.131,-0.314,0.013
43.163,33.689,0.218,0.147,-0.450,-0.617,0.517,0.763,0.129
35.165,124.313,0.028,0.138,-2.444,-2.079,0.124,-0.806,0.022
17.271,45.600,0.015,0.071,-1.377,-1.515,0.518,0.091,0.008
17.602,60.836,0.082,0.058,-1.045,-0.740,0.241,0.349,0.008
30.707,63.597,0.039,0.091,-1.364,-1.494,0.070,0.105,0.006
8.048,21.822,0.028,0.269,-1.085,-1.628,0.301,0.365,0.003
45.938,241.287,0.021,0.027,0.842,0.810,0.163,0.648,0.094
18.991,286.953,0.343,0.206,2.301,2.997,0.154,-0.189,0.006
13.794,176.144,0.000,0.036,0.167,2.465,0.263,0.958,0.024
-99999.000,1053.696,0.909,0.033,0.258,0.814,0.313,0.976,0.256
-99999.000,51.354,0.891,0.016,0.201,2.671,0.182,0.895,0.109
9.137,729.457,0.309,0.070,0.121,0.191,0.177,0.887,0.887
25.499,90.754,0.092,0.475,-1.299,-2.637,0.102,0.013,0.010
2.376,340.821,0.369,0.027,0.890,1.346,0.287,0.710,0.028
14.652,2707.585,0.001,0.004,0.209,0.470,0.389,0.948,0.399
1.250,1203.480,0.000,0.011,-0.306,-1.011,0.209,0.912,0.048
-99999.000,53.604,0.107,0.051,-1.032,-1.153,0.402,0.418,0.014
