sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
-99999.000,14.472,0.026,0.261,-0.747,-1.261,0.158,0.657,0.010
8.539,280.137,0.009,0.012,-1.088,-1.370,0.142,0.374,0.004
24.363,433.203,0.185,0.034,-0.310,-0.614,0.071,0.868,0.130
10.178,428.011,0.198,0.000,1.110,0.821,0.096,0.462,0.004
33.698,839.364,0.962,0.000,-0.316,-0.565,0.149,0.851,0.219
45.795,439.046,0.383,0.003,-0.209,-0.246,0.255,0.780,0.484
7.884,49.082,0.007,0.163,-2.300,-0.833,0.213,-0.567,0.005
12.472,108.701,0.930,0.071,0.061,0.062,0.128,0.764,0.541
4.377,255.589,0.338,0.344,0.350,1.389,0.226,0.971,0.048
56.835,239.693,0.000,0.004,-0.009,-0.018,0.093,0.922,0.801
26.306,336.085,0.730,0.070,-0.176,-0.345,0.061,0.895,0.634
155.633,114.509,0.010,0.223,1.350,1.562,0.180,0.321,0.009
257.515,27.175,0.090,0.314,-0.960,-2.383,0.154,0.312,0.002
5.323,36.608,0.029,0.269,-1.230,-1.963,0.105,0.187,0.002
-99999.000,197.992,0.032,0.003,-1.098,-1.725,0.051,0.343,0.006
6.047,49.811,0.039,0.338,1.352,1.231,0.165,0.327,0.004
28.950,19.935,0.042,0.027,-1.450,-1.505,0.400,0.019,0.003
-99999.000,451.047,0.173,0.119,-0.527,-0.682,0.081,0.724,0.025
25.308,744.068,0.416,0.004,-0.745,-1.554,0.144,0.657,0.011
0.106,1247.080,0.000,0.004,-3.114,-0.811,0.029,-0.991,0.018
72.657,27.888,0.079,0.247,1.368,0.561,0.149,0.231,0.003
33.962,914.391,0.567,0.000,0.562,0.498,0.131,0.695,0.052
6.556,231.498,0.152,0.021,-1.432,-0.632,0.216,0.082,0.007
20.037,177.211,0.000,0.141,-1.707,-1.397,0.378,-0.222,0.007
17.362,212.441,0.131,0.020,-0.293,-0.268,0.172,0.690,0.050
15.361,57.354,0.083,0.319,0.620,2.658,0.163,0.523,0.006
13.578,27.461,0.054,0.213,-1.132,-1.373,0.166,0.334,0.002
11.516,58.294,0.038,0.387,-2.406,-0.220,0.255,-0.180,0.005
47.018,53.302,0.141,0.202,-0.763,-0.076,0.147,0.149,0.007
4.753,640.467,0.992,0.035,-0.033,-3.082,0.187,0.827,0.037
40.806,972.738,0.286,0.004,0.461,0.405,0.189,0.706,0.068
10.214,27.989,0.049,0.351,-1.258,-2.529,0.214,0.057,0.001
16.729,125.853,0.697,0.266,0.089,0.109,0.042,0.824,0.323
10.189,205.495,0.830,0.084,-0.387,-0.563,0.434,0.793,0.306
3.980,178.901,0.057,0.321,-0.648,-1.003,0.035,0.706,0.011
99.374,122.854,0.093,0.312,1.491,1.738,0.070,0.169,0.007
32.683,70.817,0.108,0.359,-0.986,-2.563,0.068,0.221,0.005
0.073,45.366,0.027,0.220,-1.425,-0.946,0.198,0.077,0.003
84.620,276.028,0.023,0.008,-1.066,-1.814,0.066,0.360,0.005
150.828,96.123,0.112,0.327,1.283,2.046,0.188,0.309,0.008
12.136,548.135,0.639,0.030,0.042,1.300,0.605,0.996,0.038
0.253,355.867,0.000,0.001,0.662,0.958,0.060,0.809,0.045
17.389,187.977,0.290,0.314,0.476,2.257,0.073,0.843,0.007
0.226,35.311,0.049,0.237,1.587,1.540,0.452,0.092,0.008
181.790,87.745,0.011,0.210,-1.946,-1.803,0.082,-0.468,0.028
28.439,343.769,0.740,0.038,0.446,0.534,0.293,0.806,0.767
0.020,48.303,0.115,0.400,-1.413,-1.170,0.159,0.077,0.004
62.573,1804.967,0.000,0.074,-0.713,-1.564,0.383,0.680,0.015
163.735,53.832,0.030,0.325,-1.230,-2.308,0.201,0.124,0.004
39.615,28.475,0.059,0.352,1.356,2.240,0.218,0.200,0.002
1.162,10.855,0.014,0.367,-1.853,-1.664,0.486,-0.383,0.025
40.264,1136.451,0.455,0.002,0.097,0.195,0.131,0.930,0.966
14.544,704.457,0.379,0.011,0.975,1.156,0.082,0.632,0.010
23.395,311.511,0.000,0.390,-1.565,-1.585,0.015,-0.102,0.003
35.621,132.546,0.088,0.388,-1.066,-1.406,0.092,0.394,0.006
75.286,554.136,0.985,0.005,0.105,0.443,0.093,0.990,0.456
54.134,226.581,0.749,0.020,-0.931,-2.678,0.269,0.201,0.028
7.183,871.697,0.685,0.009,-0.019,-0.031,0.095,0.879,0.777
217.424,610.491,0.200,0.029,-0.389,-1.348,0.352,0.881,0.069
81.936,166.474,0.074,0.413,1.090,0.544,0.017,0.377,0.015
0.106,1551.635,0.000,0.035,-0.030,-0.035,0.079,0.800,0.134
-99999.000,230.443,0.786,0.041,0.055,0.245,0.092,0.989,0.609
14.742,40.860,0.035,0.394,-1.480,-2.091,0.152,-0.053,0.001
40.218,1254.853,0.771,0.002,0.285,0.426,0.223,0.876,0.776
0.050,100.427,0.000,0.006,1.265,1.957,0.112,0.345,0.006
9.973,33.748,0.056,0.302,-1.050,-1.972,0.211,0.349,0.002
27.598,152.938,0.208,0.016,0.194,2.861,0.211,0.781,0.015
15.105,66.661,0.136,0.324,1.256,2.563,0.269,0.166,0.005
9.525,61.293,0.078,0.427,-0.758,-0.747,0.173,0.566,0.013
-99999.000,122.661,0.015,0.063,-1.698,-1.614,0.120,-0.234,0.005
64.215,98.174,0.004,0.494,-1.203,-1.895,0.163,0.222,0.007
8.243,309.556,0.000,0.057,0.682,0.797,0.164,0.753,0.048
