run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
5774.000,27.000,1386.000,-0.000,-14622437014834134384640.000,30.113,1076.099,0.011,0.015,-0.568,-0.466,0.178,0.589,0.013
5110.000,65.000,3282.000,-0.000,-14622437014834134384640.000,-99999.000,529.482,0.307,0.030,-0.865,-2.098,0.226,0.482,0.010
5110.000,70.000,3550.000,-0.000,-14622437014834134384640.000,58.940,1417.110,0.728,0.006,0.078,0.146,0.029,0.917,0.983
5110.000,71.000,3551.000,-0.000,-14622437014834134384640.000,14.916,255.460,0.315,0.024,0.017,3.120,0.256,0.731,0.019
5497.000,63.000,3186.000,-0.000,-14622437014834134384640.000,6.100,139.479,0.081,0.020,-1.706,-2.303,0.257,-0.231,0.007
5965.000,19.000,997.000,-0.000,-14622437014834134384640.000,-99999.000,148.302,0.030,0.125,0.995,0.890,0.125,0.564,0.007
5386.000,151.000,7587.000,-0.000,-14622437014834134384640.000,12.717,663.620,0.989,0.007,-0.139,-0.367,0.093,0.937,0.571
5351.000,4.000,217.000,-0.000,-14622437014834134384640.000,32.408,339.855,0.552,0.013,-0.263,-0.485,0.144,0.868,0.459
5768.000,20.000,1019.000,-0.000,-14622437014834134384640.000,27.551,79.123,0.235,0.228,-0.491,-0.946,0.094,0.806,0.034
5091.000,4.000,218.000,-0.000,-14622437014834134384640.000,103.004,996.166,0.919,0.012,0.141,0.318,0.107,0.948,0.951
5911.000,70.000,3533.000,-0.000,-14622437014834134384640.000,7.726,995.415,0.786,0.001,0.017,0.051,0.171,0.964,0.722
5513.000,66.000,3321.000,-0.000,-14622437014834134384640.000,77.524,53.367,0.579,0.480,1.037,0.024,0.078,0.096,0.020
5513.000,67.000,3395.000,-0.000,-14622437014834134384640.000,0.152,549.895,0.000,0.038,-0.083,-3.044,0.289,0.699,0.016
5217.000,62.000,3103.000,-0.000,-14622437014834134384640.000,20.917,1196.595,0.977,0.002,0.238,0.343,0.140,0.869,0.947
5204.000,11.000,552.000,-0.000,-14622437014834134384640.000,12.910,98.643,0.174,0.394,-1.109,-1.757,0.212,0.328,0.004
5204.000,17.000,889.000,-0.000,-14622437014834134384640.000,10.563,1550.186,0.997,0.055,0.171,0.307,0.177,0.914,0.970
4999.000,112.000,5611.000,-0.000,-14622437014834134384640.000,0.058,213.049,0.000,0.005,0.856,1.546,0.283,0.731,0.026
5384.000,0.000,15.000,-0.000,-14622437014834134384640.000,4.560,120.777,0.338,0.237,-1.853,-0.781,0.313,-0.216,0.013
5384.000,2.000,137.000,-0.000,-14622437014834134384640.000,2.966,418.495,0.000,0.007,-0.656,-1.011,0.251,0.702,0.013
4952.000,95.000,4761.000,-0.000,-14622437014834134384640.000,32.197,216.404,0.128,0.026,1.203,0.905,0.103,0.414,0.007
5337.000,37.000,1889.000,-0.000,-14622437014834134384640.000,22.187,664.297,0.939,0.002,-0.128,-0.578,0.164,0.967,0.085
5124.000,27.000,1389.000,-0.000,-14622437014834134384640.000,70.950,851.719,0.000,0.013,-0.370,-0.278,0.302,0.610,0.025
5339.000,43.000,2161.000,-0.000,-14622437014834134384640.000,0.219,141.734,0.000,0.045,-1.745,-2.620,0.161,-0.207,0.007
5068.000,112.000,5636.000,-0.000,-14622437014834134384640.000,12.349,672.213,0.642,0.010,-0.602,-1.765,0.102,0.743,0.006
5179.000,160.000,8050.000,-0.000,-14622437014834134384640.000,0.157,363.293,0.000,0.447,-1.530,-1.484,0.280,-0.059,0.003
5464.000,21.000,1095.000,-0.000,-14622437014834134384640.000,0.028,524.595,0.000,0.000,0.447,1.611,0.330,0.938,0.020
5208.000,57.000,2860.000,-0.000,-14622437014834134384640.000,63.071,573.327,0.977,0.210,0.253,0.411,0.374,0.894,0.859
5929.000,23.000,1160.000,-0.000,-14622437014834134384640.000,23.258,184.144,0.028,0.034,2.289,1.477,0.029,-0.565,0.004
5541.000,31.000,1560.000,-0.000,-14622437014834134384640.000,7.512,282.898,0.000,0.136,0.330,0.224,0.081,0.623,0.030
5933.000,119.000,5965.000,-0.000,-14622437014834134384640.000,-99999.000,98.500,0.056,0.297,2.496,1.712,0.110,-0.732,0.011
5512.000,80.000,4031.000,-0.000,-14622437014834134384640.000,5.287,96.514,0.023,0.413,-0.766,-1.206,0.087,0.640,0.007
5499.000,94.000,4740.000,-0.000,-14622437014834134384640.000,43.924,135.045,0.613,0.117,-0.179,-0.529,0.529,0.938,0.620
5782.000,57.000,2855.000,-0.000,-14622437014834134384640.000,2.936,890.745,0.000,0.276,1.222,1.552,0.214,0.440,0.004
5449.000,69.000,3462.000,-0.000,-14622437014834134384640.000,5.681,342.141,0.086,0.058,-0.992,-1.764,0.359,0.435,0.008
5408.000,29.000,1489.000,-0.000,-14622437014834134384640.000,31.052,282.438,0.971,0.002,-0.305,-2.117,0.141,0.884,0.128
5575.000,16.000,834.000,-0.000,-14622437014834134384640.000,0.116,146.205,0.000,0.199,1.301,1.993,0.065,0.305,0.002
5512.000,66.000,3349.000,-0.000,-14622437014834134384640.000,15.185,2232.937,0.186,0.099,-0.107,-0.120,0.359,0.780,0.129
5068.000,100.000,5014.000,-0.000,-14622437014834134384640.000,12.381,958.305,0.869,0.001,-0.181,-2.256,0.207,0.934,0.047
4992.000,96.000,4805.000,-0.000,-14622437014834134384640.000,34.540,40.342,0.036,0.211,0.774,1.062,0.254,0.758,0.010
5539.000,32.000,1650.000,-0.000,-14622437014834134384640.000,18.868,155.475,0.095,0.330,0.826,0.274,0.024,0.341,0.009
5154.000,102.000,5131.000,-0.000,-14622437014834134384640.000,13.985,868.309,0.127,0.312,-2.234,-2.161,0.397,-0.650,0.020
5460.000,13.000,673.000,-0.000,-14622437014834134384640.000,56.286,425.171,0.000,0.132,-0.341,-1.740,0.538,0.893,0.036
5069.000,3.000,182.000,-0.000,-14622437014834134384640.000,21.512,120.983,0.062,0.421,1.462,1.768,0.052,0.194,0.002
4969.000,111.000,5593.000,-0.000,-14622437014834134384640.000,8.503,130.736,0.037,0.010,1.232,1.319,0.131,0.436,0.007
5441.000,28.000,1423.000,-0.000,-14622437014834134384640.000,9.634,117.240,0.069,0.023,-0.439,-1.255,0.149,0.855,0.026
5440.000,33.000,1677.000,-0.000,-14622437014834134384640.000,63.884,140.133,0.188,0.049,-2.397,-2.308,0.115,-0.723,0.062
5440.000,35.000,1778.000,-0.000,-14622437014834134384640.000,9.430,179.541,0.116,0.032,1.121,0.763,0.212,0.438,0.007
5364.000,91.000,4586.000,-0.000,-14622437014834134384640.000,9.370,268.746,0.616,0.015,0.146,0.083,0.094,0.564,0.022
5341.000,48.000,2437.000,-0.000,-14622437014834134384640.000,0.095,481.691,0.000,0.007,-0.115,-0.141,0.192,0.806,0.497
5412.000,67.000,3392.000,-0.000,-14622437014834134384640.000,213.894,336.999,0.076,0.017,1.023,0.839,0.138,0.530,0.019
4983.000,30.000,1533.000,-0.000,-14622437014834134384640.000,14.602,453.844,0.390,0.005,-0.513,-0.362,0.151,0.559,0.015
5077.000,8.000,411.000,-0.000,-14622437014834134384640.000,78.440,477.296,0.526,0.007,0.292,0.547,0.127,0.919,0.824
5385.000,176.000,8809.000,-0.000,-14622437014834134384640.000,20.888,1965.614,0.957,0.366,-0.092,-1.352,0.027,0.979,0.006
5489.000,14.000,729.000,-0.000,-14622437014834134384640.000,19.235,24.791,0.133,0.244,-1.611,-2.824,0.293,-0.121,0.002
5092.000,43.000,2156.000,-0.000,-14622437014834134384640.000,0.133,41.618,0.000,0.026,-2.088,-2.405,0.308,-0.475,0.008
4971.000,119.000,5966.000,-0.000,-14622437014834134384640.000,13.895,37.848,0.081,0.437,0.943,1.696,0.156,0.656,0.005
5005.000,19.000,996.000,-0.000,-14622437014834134384640.000,128.975,67.372,0.280,0.350,-0.379,-2.942,0.092,0.352,0.010
5905.000,58.000,2915.000,-0.000,-14622437014834134384640.000,16.845,405.066,0.833,0.004,-0.081,-0.122,0.087,0.862,0.635
4999.000,79.000,3986.000,-0.000,-14622437014834134384640.000,10.863,766.104,0.132,0.000,0.424,1.288,0.119,0.950,0.037
4999.000,82.000,4139.000,-0.000,-14622437014834134384640.000,53.813,68.857,0.032,0.184,0.769,2.446,0.334,0.553,0.007
5061.000,118.000,5917.000,-0.000,-14622437014834134384640.000,34.715,568.855,0.634,0.193,0.194,2.362,0.111,0.960,0.035
5630.000,15.000,790.000,-0.000,-14622437014834134384640.000,31.705,486.744,0.177,0.005,-1.014,-0.741,0.230,0.371,0.005
5021.000,32.000,1614.000,-0.000,-14622437014834134384640.000,9.393,346.536,0.011,0.037,-0.294,-0.198,0.097,0.588,0.018
5021.000,40.000,2029.000,-0.000,-14622437014834134384640.000,14.203,201.472,0.502,0.185,-0.051,-0.005,0.071,0.176,0.016
5099.000,30.000,1502.000,-0.000,-14622437014834134384640.000,11.244,222.640,0.280,0.146,-0.444,-0.833,0.021,0.820,0.034
5504.000,0.000,17.000,-0.000,-14622437014834134384640.000,36.341,173.680,0.070,0.206,-1.483,-1.482,0.414,-0.012,0.020
5092.000,71.000,3556.000,-0.000,-14622437014834134384640.000,22.273,226.659,0.233,0.017,0.657,0.579,0.214,0.675,0.106
5424.000,6.000,318.000,-0.000,-14622437014834134384640.000,184.110,127.937,0.506,0.221,2.489,2.680,0.231,-0.520,0.027
5235.000,70.000,3549.000,-0.000,-14622437014834134384640.000,55.019,102.118,0.095,0.147,-0.113,-1.651,0.626,0.972,0.039
5600.000,97.000,4897.000,-0.000,-14622437014834134384640.000,17.370,328.120,0.010,0.302,1.615,0.498,0.021,0.099,0.006
5361.000,123.000,6178.000,-0.000,-14622437014834134384640.000,28.972,39.366,0.033,0.434,-0.645,-2.480,0.525,0.528,0.014
5005.000,150.000,7517.000,-0.000,-14622437014834134384640.000,71.512,68.565,0.005,0.482,-2.185,-1.364,0.330,-0.635,0.008
5143.000,61.000,3083.000,-0.000,-14622437014834134384640.000,31.504,180.487,0.054,0.022,1.881,1.241,0.165,-0.167,0.007
4975.000,101.000,5094.000,-0.000,-14622437014834134384640.000,100.773,390.216,0.391,0.021,-0.040,-2.839,0.359,0.968,0.066
4975.000,103.000,5181.000,-0.000,-14622437014834134384640.000,43.038,177.951,0.037,0.209,1.039,1.996,0.076,0.524,0.003
5001.000,25.000,1256.000,-0.000,-14622437014834134384640.000,110.306,101.538,0.021,0.253,-1.402,-1.626,0.556,0.057,0.018
5430.000,25.000,1293.000,-0.000,-14622437014834134384640.000,64.426,740.858,0.436,0.024,-0.295,-0.384,0.080,0.790,0.236
5952.000,6.000,306.000,-0.000,-14622437014834134384640.000,-99999.000,78.182,0.465,0.291,-2.992,-2.769,0.167,-0.959,0.237
5910.000,94.000,4734.000,-0.000,-14622437014834134384640.000,8.545,157.456,0.030,0.158,-0.889,-2.053,0.297,0.473,0.006
5397.000,43.000,2168.000,-0.000,-14622437014834134384640.000,32.258,206.098,0.039,0.053,-0.797,-1.984,0.215,0.565,0.005
5128.000,25.000,1296.000,-0.000,-14622437014834134384640.000,-99999.000,182.916,0.052,0.350,-0.399,-0.537,0.079,0.774,0.073
5134.000,5.000,298.000,-0.000,-14622437014834134384640.000,13.499,70.028,0.097,0.478,-1.631,-1.702,0.148,-0.174,0.010
5108.000,71.000,3587.000,-0.000,-14622437014834134384640.000,19.252,226.240,0.017,0.059,-1.277,-2.041,0.114,0.132,0.004
5108.000,77.000,3879.000,-0.000,-14622437014834134384640.000,45.703,56.198,0.054,0.469,-0.991,-1.988,0.085,0.398,0.006
5441.000,76.000,3825.000,-0.000,-14622437014834134384640.000,18.710,55.169,0.527,0.111,0.608,1.381,0.231,0.878,0.112
5127.000,83.000,4173.000,-0.000,-14622437014834134384640.000,24.266,34.320,0.116,0.092,-1.104,-1.927,0.177,0.309,0.002
5452.000,37.000,1863.000,-0.000,-14622437014834134384640.000,51.548,18.059,0.018,0.077,-0.823,-1.910,0.237,0.557,0.003
5625.000,185.000,9252.000,-0.000,-14622437014834134384640.000,66.277,151.099,0.177,0.058,1.115,2.313,0.146,0.360,0.006
5508.000,22.000,1104.000,-0.000,-14622437014834134384640.000,7.230,264.643,0.399,0.039,1.779,0.315,0.114,0.043,0.014
5508.000,24.000,1224.000,-0.000,-14622437014834134384640.000,86.062,71.750,0.031,0.301,-1.739,-1.813,0.221,-0.281,0.006
5002.000,49.000,2469.000,-0.000,-14622437014834134384640.000,18.541,94.903,0.000,0.439,1.758,1.389,0.394,-0.064,0.005
5331.000,142.000,7146.000,-0.000,-14622437014834134384640.000,113.629,171.916,0.076,0.214,0.770,0.271,0.082,0.365,0.017
5125.000,8.000,406.000,-0.000,-14622437014834134384640.000,37.178,106.028,0.315,0.135,-2.840,-2.265,0.279,-0.968,0.222
5605.000,88.000,4405.000,-0.000,-14622437014834134384640.000,153.114,20.494,0.284,0.389,0.028,0.019,0.143,0.628,0.039
5605.000,88.000,4432.000,-0.000,-14622437014834134384640.000,5.972,221.578,0.067,0.110,0.729,2.730,0.084,0.378,0.003
5605.000,124.000,6240.000,-1000247708154498349949070612140916736.000,0.000,201.018,74.417,0.138,0.308,0.065,0.096,0.251,0.871,0.522
5344.000,5.000,258.000,-0.000,-14622437014834134384640.000,66.185,214.284,0.797,0.345,0.206,0.038,0.027,0.261,0.029
4962.000,133.000,6654.000,-0.000,-14622437014834134384640.000,15.986,54.584,0.053,0.485,0.934,1.183,0.074,0.666,0.018
5586.000,22.000,1146.000,-0.000,-14622437014834134384640.000,0.050,562.890,0.000,0.400,1.854,0.158,0.353,0.049,0.005
5586.000,29.000,1462.000,-0.000,-14622437014834134384640.000,43.345,240.841,0.025,0.016,-0.066,-3.066,0.132,0.690,0.017
5616.000,6.000,324.000,-0.000,-14622437014834134384640.000,59.727,353.550,0.403,0.004,-0.826,-1.470,0.261,0.598,0.014
5557.000,33.000,1675.000,-0.000,-14622437014834134384640.000,5.705,129.405,0.069,0.352,-1.811,-2.142,0.069,-0.329,0.009
5625.000,7.000,357.000,-0.000,-14622437014834134384640.000,12.895,192.028,0.218,0.036,-0.488,-0.751,0.208,0.773,0.030
5049.000,73.000,3654.000,-0.000,-14622437014834134384640.000,71.668,68.620,0.006,0.135,-1.035,-1.575,0.536,0.414,0.016
