run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
5539.000,32.000,1650.000,-0.000,-14622437014834134384640.000,11.163,149.035,0.086,0.293,0.826,0.273,0.025,0.341,0.008
5515.000,71.000,3578.000,-0.000,-14622437014834134384640.000,17.814,443.425,0.544,0.244,-0.621,-0.866,0.103,0.702,0.016
5179.000,22.000,1136.000,-0.000,-14622437014834134384640.000,13.182,47.329,0.015,0.279,1.478,0.889,0.247,0.204,0.003
5179.000,26.000,1331.000,-0.000,-14622437014834134384640.000,39.319,368.911,0.011,0.184,-1.101,-1.700,0.070,0.343,0.004
5226.000,52.000,2608.000,-0.000,-14622437014834134384640.000,12.783,116.525,0.306,0.131,0.725,0.927,0.536,0.762,0.059
5226.000,52.000,2615.000,-0.000,-14622437014834134384640.000,77.835,143.163,0.054,0.282,-1.031,-1.127,0.148,0.417,0.009
5226.000,58.000,2919.000,-0.000,-14622437014834134384640.000,19.390,92.985,0.010,0.254,-1.166,-1.982,0.157,0.243,0.005
5226.000,58.000,2935.000,-0.000,-14622437014834134384640.000,17.431,617.411,0.177,0.228,-0.449,-1.530,0.312,0.848,0.013
5930.000,0.000,13.000,-0.000,-14622437014834134384640.000,53.381,313.579,0.956,0.006,0.158,0.545,0.300,0.983,0.805
5914.000,32.000,1627.000,-0.000,-14622437014834134384640.000,-99999.000,145.632,0.005,0.067,-0.909,-1.261,0.205,0.529,0.006
5392.000,0.000,24.000,-0.000,-14622437014834134384640.000,238.847,23.611,0.554,0.043,-0.766,-1.484,0.181,0.645,0.023
5340.000,83.000,4170.000,-0.000,-14622437014834134384640.000,6.351,55.837,0.090,0.320,1.027,1.508,0.445,0.607,0.069
4992.000,151.000,7587.000,-0.000,-14622437014834134384640.000,120.690,158.534,0.032,0.281,1.711,1.602,0.277,-0.036,0.006
5497.000,6.000,338.000,-0.000,-14622437014834134384640.000,6.891,339.311,0.093,0.208,0.535,0.574,0.078,0.761,0.168
5499.000,158.000,7908.000,-0.000,-14622437014834134384640.000,42.048,927.676,0.966,0.011,0.104,0.207,0.063,0.928,0.992
5933.000,20.000,1032.000,-0.000,-14622437014834134384640.000,28.297,122.755,0.126,0.051,2.134,2.309,0.065,-0.396,0.006
5546.000,0.000,36.000,-14747.215,-2344335872.000,9.601,51.201,0.322,0.210,0.864,0.848,0.445,0.645,0.086
5464.000,36.000,1804.000,-0.000,-14622437014834134384640.000,49.459,57.497,0.000,0.273,-0.268,-0.834,0.157,0.920,0.068
5091.000,13.000,674.000,-0.000,-14622437014834134384640.000,10.902,578.294,0.000,0.003,0.357,0.325,0.183,0.728,0.061
5364.000,97.000,4891.000,-0.000,-14622437014834134384640.000,16.791,335.666,0.848,0.125,-0.401,-2.546,0.193,0.715,0.041
5401.000,5.000,270.000,-0.000,-14622437014834134384640.000,0.088,924.569,0.144,0.011,-0.550,-3.041,0.127,0.072,0.005
5910.000,26.000,1315.000,-0.000,-14622437014834134384640.000,4.048,257.670,0.102,0.002,-0.253,-0.260,0.134,0.734,0.089
5628.000,10.000,521.000,-0.000,-14622437014834134384640.000,27.377,393.246,0.923,0.044,0.123,1.025,0.320,1.000,0.299
5600.000,22.000,1105.000,-0.000,-14622437014834134384640.000,132.769,54.522,0.041,0.474,-0.457,-0.916,0.116,0.824,0.022
5412.000,38.000,1930.000,-0.000,-14622437014834134384640.000,63.739,453.629,0.038,0.021,0.463,2.824,0.092,0.490,0.004
5778.000,11.000,588.000,-0.000,-14622437014834134384640.000,62.828,349.396,0.230,0.024,-1.476,-2.183,0.220,-0.055,0.010
5519.000,93.000,4668.000,-0.000,-14622437014834134384640.000,13.873,1743.884,0.082,0.222,0.519,0.673,0.281,0.817,0.118
5925.000,103.000,5194.000,-0.000,-14622437014834134384640.000,11.001,93.216,0.251,0.287,1.796,1.829,0.354,-0.134,0.008
5454.000,188.000,9421.000,-0.000,-14622437014834134384640.000,56.293,201.053,0.163,0.002,1.027,1.850,0.029,0.567,0.006
5191.000,53.000,2665.000,-0.000,-14622437014834134384640.000,19.018,694.719,0.946,0.033,0.358,0.582,0.151,0.889,0.821
5326.000,92.000,4634.000,-0.000,-14622437014834134384640.000,-99999.000,584.284,0.980,0.009,0.460,1.117,0.108,0.931,0.261
5385.000,129.000,6464.000,-0.000,-14622437014834134384640.000,76.337,99.071,0.035,0.194,0.580,0.878,0.170,0.840,0.125
5343.000,26.000,1310.000,-0.000,-14622437014834134384640.000,67.647,41.634,0.092,0.430,1.445,2.096,0.114,0.160,0.002
5947.000,74.000,3729.000,-0.000,-14622437014834134384640.000,8.187,195.261,0.079,0.021,1.394,0.657,0.127,0.234,0.007
5322.000,17.000,890.000,-0.000,-14622437014834134384640.000,0.091,56.562,0.000,0.035,1.302,1.545,0.376,0.368,0.009
5925.000,49.000,2485.000,-0.000,-14622437014834134384640.000,51.489,70.591,0.366,0.353,-0.372,-0.836,0.156,0.865,0.150
5541.000,45.000,2283.000,-0.000,-14622437014834134384640.000,13.003,40.040,0.063,0.125,0.004,3.139,0.324,0.456,0.005
5519.000,188.000,9431.000,-0.000,-14622437014834134384640.000,-99999.000,395.468,0.971,0.001,0.330,1.132,0.125,0.973,0.244
5437.000,18.000,916.000,-0.000,-14622437014834134384640.000,140.290,37.652,0.345,0.270,-0.472,-1.552,0.455,0.835,0.029
4986.000,19.000,988.000,-0.000,-14622437014834134384640.000,46.322,1424.382,0.002,0.065,-1.504,-1.729,0.271,-0.052,0.006
5084.000,62.000,3127.000,-0.000,-14622437014834134384640.000,11.470,358.993,0.798,0.004,-0.026,-0.048,0.287,0.905,0.932
4992.000,40.000,2019.000,-0.000,-14622437014834134384640.000,123.080,105.429,0.733,0.489,-0.092,-1.909,0.107,0.974,0.023
5061.000,7.000,375.000,-0.000,-14622437014834134384640.000,24.950,1371.383,0.503,0.003,-0.096,-0.252,0.169,0.942,0.641
5519.000,178.000,8929.000,-0.000,-14622437014834134384640.000,7.478,1411.712,0.604,0.007,1.764,1.598,0.355,-0.088,0.005
5519.000,190.000,9524.000,-0.000,-14622437014834134384640.000,-99999.000,320.414,0.000,0.003,-0.673,-0.845,0.045,0.659,0.020
5436.000,22.000,1112.000,-0.000,-14622437014834134384640.000,202.162,1381.128,0.827,0.009,-0.052,-0.089,0.194,0.890,0.959
5436.000,28.000,1433.000,-0.000,-14622437014834134384640.000,5.888,126.204,0.087,0.353,0.047,2.464,0.546,0.989,0.014
5937.000,37.000,1852.000,-0.000,-14622437014834134384640.000,29.872,1410.672,0.421,0.008,0.269,0.486,0.141,0.915,0.785
5937.000,42.000,2145.000,-0.000,-14622437014834134384640.000,14.152,301.024,0.923,0.004,-0.174,-2.396,0.120,0.927,0.045
5203.000,19.000,975.000,-0.000,-14622437014834134384640.000,5.637,691.229,0.532,0.000,0.599,1.156,0.119,0.872,0.044
5005.000,98.000,4934.000,-0.000,-14622437014834134384640.000,0.282,246.037,0.000,0.017,0.844,0.402,0.212,0.433,0.012
5940.000,13.000,664.000,8999705084904618173481567605466595328.000,-1964791883357390372864.000,171.204,110.326,0.070,0.454,-2.679,-1.903,0.098,-0.936,0.043
5528.000,51.000,2557.000,-0.000,-14622437014834134384640.000,13.123,30.539,0.073,0.225,0.897,1.517,0.226,0.704,0.006
5059.000,0.000,44.000,-0.000,-14622437014834134384640.000,6.397,59.485,0.084,0.117,2.655,2.434,0.327,-0.763,0.070
5531.000,37.000,1867.000,-0.000,-14622437014834134384640.000,32.111,101.304,0.051,0.103,-1.320,-0.819,0.292,0.159,0.007
5614.000,18.000,917.000,-0.000,-14622437014834134384640.000,37.406,41.555,0.068,0.039,-2.081,-1.946,0.186,-0.571,0.007
5614.000,18.000,950.000,-0.000,-14622437014834134384640.000,13.210,64.370,0.035,0.270,1.079,2.463,0.206,0.321,0.004
5034.000,20.000,1031.000,-0.000,-14622437014834134384640.000,105.360,230.050,0.015,0.417,-0.619,-3.006,0.015,0.094,0.006
5139.000,60.000,3019.000,-0.000,-14622437014834134384640.000,27.218,39.754,0.619,0.099,-0.227,-0.326,0.528,0.828,0.279
5489.000,36.000,1820.000,-0.000,-14622437014834134384640.000,-99999.000,129.601,0.120,0.232,0.278,1.197,0.143,0.985,0.080
5110.000,73.000,3694.000,-0.000,-14622437014834134384640.000,0.258,529.841,0.338,0.006,0.159,0.452,0.428,0.971,0.706
5110.000,80.000,4002.000,-0.000,-14622437014834134384640.000,-99999.000,120.598,0.025,0.068,-1.329,-1.312,0.165,0.149,0.007
5110.000,82.000,4123.000,-0.000,-14622437014834134384640.000,31.721,161.249,0.545,0.222,0.266,0.521,0.110,0.927,0.670
5084.000,39.000,1967.000,-0.000,-14622437014834134384640.000,12.583,185.418,0.025,0.176,1.742,2.208,0.102,-0.099,0.002
5084.000,41.000,2052.000,-0.000,-14622437014834134384640.000,23.619,220.507,0.095,0.334,0.457,0.141,0.022,0.362,0.009
5075.000,11.000,583.000,-0.000,-14622437014834134384640.000,35.600,157.167,0.167,0.064,0.695,1.206,0.146,0.825,0.077
5190.000,17.000,878.000,-0.000,-14622437014834134384640.000,0.119,311.276,0.000,0.009,1.347,1.823,0.093,0.295,0.003
5190.000,18.000,933.000,-0.000,-14622437014834134384640.000,7.048,49.574,0.003,0.210,1.378,1.536,0.524,0.297,0.015
5564.000,58.000,2906.000,-0.000,-14622437014834134384640.000,80.852,54.193,0.069,0.478,-0.745,-2.673,0.180,0.330,0.007
5059.000,67.000,3356.000,-0.000,-14622437014834134384640.000,158.202,121.142,0.096,0.163,3.105,3.129,0.237,-0.389,0.023
5162.000,22.000,1117.000,-0.000,-14622437014834134384640.000,5.587,1384.687,0.264,0.004,0.205,0.345,0.213,0.902,0.895
5162.000,34.000,1702.000,-0.000,-14622437014834134384640.000,6.037,89.461,0.130,0.069,0.194,2.306,0.251,0.965,0.034
5139.000,77.000,3894.000,-0.000,-14622437014834134384640.000,2.604,404.653,0.000,0.070,0.389,1.923,0.339,0.937,0.023
5514.000,4.000,242.000,-0.000,-14622437014834134384640.000,25.353,377.794,0.813,0.004,0.318,0.626,0.078,0.926,0.702
5608.000,3.000,189.000,-0.000,-14622437014834134384640.000,16.068,182.731,0.976,0.006,0.122,2.906,0.225,0.852,0.028
5776.000,51.000,2560.000,-0.000,-14622437014834134384640.000,19.997,214.534,0.048,0.423,-2.635,-2.417,0.160,-0.843,0.056
5440.000,33.000,1677.000,-0.000,-14622437014834134384640.000,63.897,131.481,0.222,0.116,-2.294,-2.148,0.083,-0.695,0.041
5440.000,35.000,1778.000,-0.000,-14622437014834134384640.000,9.416,168.730,0.104,0.025,1.126,0.764,0.216,0.434,0.008
5900.000,11.000,594.000,-0.000,-14622437014834134384640.000,0.212,50.240,0.024,0.068,-0.848,-1.778,0.691,0.557,0.023
5947.000,179.000,8964.000,-0.000,-14622437014834134384640.000,-99999.000,168.024,0.019,0.067,-1.263,-1.473,0.171,0.205,0.006
5142.000,25.000,1281.000,-0.000,-14622437014834134384640.000,165.193,1273.487,0.320,0.009,0.274,0.522,0.056,0.923,0.679
5509.000,57.000,2860.000,-0.000,-14622437014834134384640.000,28.115,219.462,0.000,0.024,-0.181,-0.081,0.302,0.463,0.010
5436.000,100.000,5008.000,-0.000,-14622437014834134384640.000,155.143,321.966,0.698,0.027,0.077,0.253,0.263,0.978,0.827
5436.000,100.000,5042.000,-0.000,-14622437014834134384640.000,9.655,49.221,0.057,0.245,0.936,0.633,0.159,0.512,0.004
5606.000,96.000,4840.000,-0.000,-14622437014834134384640.000,-99999.000,129.104,0.099,0.036,-0.783,-1.929,0.117,0.587,0.009
5219.000,3.000,195.000,-0.000,-14622437014834134384640.000,10.210,389.273,0.000,0.019,1.490,1.496,0.225,0.191,0.004
5219.000,7.000,351.000,-0.000,-14622437014834134384640.000,36.973,447.512,0.678,0.001,0.437,1.773,0.401,0.933,0.020
5616.000,117.000,5893.000,-0.000,-14622437014834134384640.000,33.361,46.205,0.057,0.185,0.726,0.974,0.268,0.772,0.023
5333.000,30.000,1537.000,-0.000,-14622437014834134384640.000,39.350,1133.469,0.002,0.019,0.193,0.387,0.145,0.932,0.946
5093.000,42.000,2120.000,-0.000,-14622437014834134384640.000,12.244,171.873,0.093,0.355,1.355,2.712,0.061,0.063,0.002
5948.000,47.000,2356.000,-0.000,-14622437014834134384640.000,35.374,78.391,0.970,0.099,-0.055,-3.094,0.432,0.589,0.163
5425.000,24.000,1237.000,-0.000,-14622437014834134384640.000,-99999.000,151.845,0.204,0.033,0.276,0.096,0.128,0.403,0.012
5386.000,89.000,4463.000,-0.000,-14622437014834134384640.000,25.296,109.811,0.036,0.260,-0.770,-1.007,0.077,0.615,0.011
5169.000,4.000,239.000,-0.000,-14622437014834134384640.000,0.055,311.817,0.000,0.041,0.455,1.933,0.333,0.912,0.028
5918.000,51.000,2583.000,-0.000,-14622437014834134384640.000,11.143,28.183,0.018,0.341,-0.465,-1.520,0.126,0.840,0.004
5212.000,21.000,1052.000,-0.000,-14622437014834134384640.000,-99999.000,30.882,0.000,0.190,1.240,1.929,0.308,0.371,0.003
5616.000,47.000,2352.000,-0.000,-14622437014834134384640.000,16.745,163.117,0.185,0.090,-0.839,-1.936,0.086,0.539,0.006
5616.000,47.000,2380.000,-0.000,-14622437014834134384640.000,-99999.000,66.811,0.161,0.167,-2.557,-2.430,0.244,-0.788,0.079
5616.000,60.000,3020.000,-0.000,-14622437014834134384640.000,-99999.000,23.075,0.026,0.154,0.938,1.961,0.268,0.613,0.009
5918.000,1.000,75.000,-0.000,-14622437014834134384640.000,0.092,269.411,0.000,0.465,1.627,0.341,0.123,0.091,0.005
5918.000,7.000,394.000,-0.000,-14622437014834134384640.000,58.266,61.697,0.079,0.085,-0.780,-0.161,0.177,0.219,0.009
