run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
5900.000,27.000,1371.000,-0.000,-14622437014834134384640.000,39.926,1039.590,0.068,0.000,0.231,2.113,0.191,0.969,0.012
5515.000,9.000,479.000,-0.000,-14622437014834134384640.000,32.397,648.365,0.896,0.127,0.309,0.396,0.063,0.836,0.723
5418.000,120.000,6021.000,-0.000,-14622437014834134384640.000,10.942,210.034,0.350,0.006,0.924,1.738,0.095,0.666,0.009
5084.000,67.000,3364.000,-0.000,-14622437014834134384640.000,96.539,201.651,0.198,0.387,-2.097,-1.232,0.315,-0.541,0.012
5769.000,49.000,2481.000,-0.000,-14622437014834134384640.000,25.712,41.253,0.046,0.347,0.863,1.813,0.469,0.698,0.027
5527.000,67.000,3363.000,-0.000,-14622437014834134384640.000,4.760,83.175,0.076,0.333,-1.847,-1.743,0.108,-0.380,0.013
5042.000,2.000,117.000,-0.000,-14622437014834134384640.000,0.167,545.689,0.000,0.037,-1.402,-0.576,0.369,0.100,0.006
5177.000,19.000,968.000,-0.000,-14622437014834134384640.000,9.404,9.994,0.024,0.494,-0.728,-1.433,0.448,0.674,0.056
5339.000,0.000,50.000,-0.000,-14622437014834134384640.000,7.789,187.133,0.036,0.053,1.592,1.603,0.290,0.082,0.004
5046.000,84.000,4226.000,-0.000,-14622437014834134384640.000,34.799,79.735,0.304,0.041,-1.096,-0.702,0.319,0.304,0.022
5387.000,70.000,3536.000,-0.000,-14622437014834134384640.000,21.334,69.928,0.046,0.417,-1.238,-1.213,0.144,0.237,0.003
5385.000,106.000,5307.000,-0.000,-14622437014834134384640.000,60.631,164.742,0.004,0.321,-1.708,-1.413,0.071,-0.226,0.005
5385.000,106.000,5317.000,-0.000,-14622437014834134384640.000,7.495,1554.902,0.000,0.001,-1.314,-1.371,0.093,0.161,0.002
5783.000,60.000,3024.000,-0.000,-14622437014834134384640.000,9.097,57.639,0.372,0.178,-0.512,-1.246,0.131,0.814,0.030
5618.000,43.000,2181.000,-0.000,-14622437014834134384640.000,0.002,610.221,0.000,0.000,-0.343,-0.520,0.464,0.814,0.236
5466.000,8.000,403.000,-0.000,-14622437014834134384640.000,139.359,30.341,0.017,0.462,1.316,1.906,0.091,0.308,0.001
5208.000,102.000,5124.000,-0.000,-14622437014834134384640.000,45.578,490.627,0.236,0.331,-0.510,-2.982,0.269,0.179,0.009
5157.000,118.000,5945.000,-0.000,-14622437014834134384640.000,8.029,257.859,0.153,0.030,0.222,0.052,0.040,0.307,0.011
5091.000,45.000,2285.000,-0.000,-14622437014834134384640.000,17.306,685.896,0.150,0.003,1.093,0.582,0.092,0.391,0.006
5455.000,2.000,111.000,-0.000,-14622437014834134384640.000,9.954,144.259,0.021,0.191,-1.580,-1.944,0.170,-0.136,0.005
5779.000,5.000,296.000,-0.000,-14622437014834134384640.000,7.130,312.150,0.087,0.052,0.274,0.732,0.092,0.964,0.362
4955.000,86.000,4327.000,-0.000,-14622437014834134384640.000,53.410,29.863,0.017,0.388,-1.285,-1.744,0.188,0.162,0.001
5384.000,194.000,9733.000,-0.000,-14622437014834134384640.000,21.867,35.999,0.542,0.340,0.112,2.731,0.328,0.946,0.026
5384.000,196.000,9849.000,-0.000,-14622437014834134384640.000,55.657,69.282,0.056,0.158,-0.603,-1.521,0.632,0.758,0.038
5512.000,187.000,9388.000,-0.000,-14622437014834134384640.000,8.828,124.291,0.707,0.122,1.588,1.264,0.268,0.109,0.014
5136.000,15.000,787.000,-0.000,-14622437014834134384640.000,3.821,148.136,0.023,0.077,-1.970,-2.345,0.182,-0.412,0.014
5090.000,32.000,1604.000,-0.000,-14622437014834134384640.000,62.252,108.671,0.449,0.344,0.444,2.300,0.082,0.850,0.010
5090.000,39.000,1955.000,-0.000,-14622437014834134384640.000,35.440,528.740,0.609,0.009,0.442,0.913,0.067,0.919,0.185
5090.000,39.000,1996.000,-0.000,-14622437014834134384640.000,84.886,29.882,0.026,0.045,-1.145,-2.064,0.216,0.246,0.002
5454.000,128.000,6434.000,-0.000,-14622437014834134384640.000,57.015,953.365,0.287,0.006,-0.092,-0.101,0.055,0.775,0.220
5454.000,137.000,6871.000,-0.000,-14622437014834134384640.000,58.749,186.120,0.000,0.048,-2.426,-1.525,0.529,-0.815,0.039
5326.000,118.000,5930.000,-0.000,-14622437014834134384640.000,0.636,237.782,0.000,0.056,0.523,1.308,0.334,0.914,0.098
5326.000,121.000,6060.000,-0.000,-14622437014834134384640.000,34.495,411.057,0.264,0.003,-0.671,-1.297,0.181,0.713,0.012
5912.000,35.000,1773.000,-0.000,-14622437014834134384640.000,16.192,58.888,0.031,0.167,1.206,1.128,0.184,0.446,0.007
5603.000,24.000,1238.000,-0.000,-14622437014834134384640.000,-99999.000,616.690,0.966,0.026,0.348,2.284,0.205,0.906,0.039
5034.000,6.000,340.000,-0.000,-14622437014834134384640.000,15.068,897.652,0.819,0.001,-0.052,-0.101,0.063,0.911,0.847
5588.000,37.000,1892.000,-0.000,-14622437014834134384640.000,0.011,88.958,0.000,0.041,-0.616,-2.373,0.085,0.602,0.011
5588.000,41.000,2053.000,-0.000,-14622437014834134384640.000,36.997,151.633,0.156,0.218,2.073,2.131,0.124,-0.375,0.004
5588.000,42.000,2125.000,-0.000,-14622437014834134384640.000,183.342,203.683,0.027,0.035,-0.722,-1.110,0.055,0.664,0.019
5395.000,20.000,1014.000,-0.000,-14622437014834134384640.000,42.748,545.893,0.674,0.007,-0.018,-3.056,0.292,0.951,0.051
5343.000,26.000,1310.000,-0.000,-14622437014834134384640.000,67.647,41.636,0.092,0.430,1.445,2.096,0.114,0.160,0.002
5361.000,150.000,7525.000,-0.000,-14622437014834134384640.000,96.882,337.710,0.923,0.006,-0.052,-0.597,0.122,0.988,0.591
5361.000,158.000,7923.000,-0.000,-14622437014834134384640.000,36.093,465.334,0.463,0.047,-3.035,-2.961,0.282,-0.901,0.709
5125.000,28.000,1402.000,-0.000,-14622437014834134384640.000,-99999.000,151.388,0.765,0.026,0.165,0.066,0.220,0.446,0.036
5386.000,160.000,8027.000,-0.000,-14622437014834134384640.000,89.826,141.682,0.022,0.091,1.455,0.399,0.149,0.159,0.020
5561.000,36.000,1843.000,-0.000,-14622437014834134384640.000,0.043,188.723,0.000,0.034,0.042,0.233,0.263,0.993,0.377
5510.000,4.000,214.000,-0.000,-14622437014834134384640.000,19.514,202.775,0.356,0.060,-0.696,-1.127,0.215,0.685,0.029
5211.000,56.000,2846.000,-0.000,-14622437014834134384640.000,16.940,559.995,0.228,0.001,-0.677,-0.828,0.226,0.651,0.014
4997.000,11.000,582.000,-0.000,-14622437014834134384640.000,24.680,116.092,0.116,0.221,-0.841,-2.282,0.259,0.447,0.008
5036.000,5.000,258.000,-0.000,-14622437014834134384640.000,39.676,219.564,0.048,0.091,3.024,1.614,0.441,-0.972,0.117
5914.000,90.000,4525.000,-0.000,-14622437014834134384640.000,8.839,37.119,0.002,0.193,-0.903,-1.049,0.506,0.516,0.013
5157.000,82.000,4112.000,-0.000,-14622437014834134384640.000,20.504,549.464,0.321,0.002,-0.589,-0.841,0.138,0.720,0.017
5191.000,12.000,644.000,-0.000,-14622437014834134384640.000,29.274,68.647,0.068,0.218,-2.414,-0.641,0.105,-0.552,0.007
5536.000,30.000,1518.000,-0.000,-14622437014834134384640.000,12.029,24.106,0.109,0.216,0.826,2.021,0.197,0.680,0.006
5896.000,32.000,1632.000,-0.000,-14622437014834134384640.000,37.289,965.088,0.009,0.226,-1.178,-1.132,0.406,0.289,0.011
5204.000,154.000,7714.000,-0.000,-14622437014834134384640.000,32.352,32.348,0.148,0.393,0.569,1.107,0.441,0.882,0.037
5031.000,118.000,5904.000,-0.000,-14622437014834134384640.000,89.425,213.356,0.206,0.432,1.575,2.982,0.044,-0.062,0.006
5025.000,10.000,539.000,-0.000,-14622437014834134384640.000,36.359,175.339,0.111,0.227,1.081,1.807,0.120,0.531,0.004
5025.000,20.000,1030.000,-0.000,-14622437014834134384640.000,0.099,263.436,0.240,0.073,0.661,0.845,0.023,0.782,0.023
5602.000,78.000,3941.000,-0.000,-14622437014834134384640.000,162.307,78.926,0.014,0.270,-2.576,-2.265,0.032,-0.848,0.059
5528.000,8.000,407.000,-0.000,-14622437014834134384640.000,10.533,400.669,0.531,0.131,0.517,0.980,0.044,0.892,0.087
5528.000,9.000,453.000,-0.000,-14622437014834134384640.000,67.519,393.485,0.000,0.028,-0.685,-1.692,0.221,0.692,0.008
