sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
50.915,204.380,0.006,0.083,-1.251,-1.588,0.131,0.210,0.004
51.839,260.125,0.018,0.239,-1.514,-1.664,0.040,-0.057,0.004
127.922,66.023,0.027,0.296,-2.230,-1.265,0.115,-0.651,0.008
20.040,39.640,0.390,0.336,-3.059,-2.876,0.122,-0.976,0.030
-99999.000,92.797,0.023,0.442,0.459,0.578,0.074,0.818,0.206
71.603,118.946,0.021,0.182,1.300,1.173,0.139,0.370,0.009
0.691,97.952,0.073,0.122,-0.467,-2.293,0.069,0.749,0.013
-99999.000,30.086,0.037,0.348,-1.584,-1.264,0.130,-0.090,0.002
12.919,60.942,0.020,0.080,1.759,1.243,0.168,-0.052,0.005
13.795,61.786,0.116,0.418,-1.611,-1.891,0.055,-0.163,0.006
99.534,479.620,0.013,0.222,-1.575,-1.601,0.010,-0.113,0.006
38.628,45.108,0.120,0.142,-1.465,-0.819,0.257,0.053,0.004
41.882,48.898,0.006,0.159,-1.059,-1.657,0.124,0.386,0.002
217.144,74.675,0.020,0.416,-2.123,-1.590,0.141,-0.612,0.012
37.220,30.034,0.007,0.143,-1.761,-0.283,0.202,-0.007,0.002
64.220,131.673,0.048,0.194,0.545,2.177,0.332,0.822,0.021
9.599,19.379,0.171,0.463,0.680,2.482,0.187,0.601,0.006
21.204,55.678,0.083,0.206,1.687,1.492,0.153,-0.003,0.004
84.052,615.181,0.106,0.024,-1.506,-2.200,0.028,-0.080,0.005
8.546,45.731,0.057,0.350,-1.717,-1.260,0.248,-0.214,0.003
4.044,36.273,0.049,0.094,-0.283,-1.218,0.330,0.925,0.024
45.471,347.898,0.048,0.062,0.220,1.560,0.685,0.991,0.038
6.371,1067.347,0.049,0.012,0.530,2.531,0.215,0.690,0.010
16.532,119.091,0.128,0.163,-0.935,-2.749,0.139,0.160,0.006
120.532,56.452,0.035,0.130,1.602,1.299,0.395,0.093,0.010
18.860,154.060,0.192,0.191,0.442,0.671,0.169,0.866,0.626
-99999.000,42.467,0.066,0.242,-1.067,-2.306,0.201,0.253,0.004
19.517,87.563,0.024,0.461,-1.147,-2.003,0.171,0.256,0.005
26.679,50.137,0.455,0.244,-0.000,-3.140,0.113,0.927,0.034
0.044,383.408,0.000,0.004,0.942,2.024,0.230,0.594,0.011
9.925,105.310,0.021,0.231,2.057,0.542,0.132,-0.143,0.005
-99999.000,67.235,0.085,0.299,-1.450,-1.261,0.037,0.037,0.006
14.130,37.613,0.620,0.124,1.644,1.770,0.453,0.018,0.011
83.576,81.236,0.042,0.250,-2.318,-1.872,0.350,-0.750,0.035
28.736,37.325,0.123,0.384,-1.003,-2.192,0.145,0.339,0.002
0.043,42.776,0.000,0.001,1.016,1.855,0.185,0.575,0.006
179.213,71.085,0.562,0.343,-0.183,-0.456,0.142,0.923,0.423
4.469,161.526,0.285,0.037,-2.077,-2.548,0.096,-0.413,0.025
4.934,24.538,0.036,0.117,-0.919,-0.832,0.374,0.465,0.004
8.101,30.125,0.087,0.290,-0.441,-1.741,0.202,0.843,0.008
0.206,35.896,0.088,0.370,-0.527,-1.615,0.072,0.802,0.011
38.198,348.851,0.000,0.108,1.505,1.500,0.441,0.176,0.015
6.462,90.154,0.000,0.001,1.374,1.296,0.162,0.308,0.006
78.184,63.686,0.045,0.414,-1.988,-2.496,0.065,-0.378,0.007
0.021,24.374,0.000,0.009,-1.377,-2.085,0.136,0.037,0.003
0.027,212.395,0.000,0.034,-1.722,-1.679,0.300,-0.261,0.005
40.255,38.167,0.020,0.234,-1.306,-1.889,0.143,0.126,0.001
0.177,380.830,0.000,0.030,0.855,1.068,0.068,0.705,0.016
-99999.000,30.500,0.183,0.211,0.610,1.482,0.270,0.876,0.016
13.323,1207.013,0.297,0.001,0.286,0.257,0.119,0.726,0.061
91.894,49.973,0.042,0.434,-2.044,-1.769,0.236,-0.552,0.009
0.095,29.235,0.034,0.375,1.829,2.014,0.265,-0.169,0.002
151.967,56.764,0.015,0.303,1.894,1.863,0.277,-0.228,0.007
0.477,44.743,0.012,0.345,-1.858,-1.505,0.330,-0.377,0.003
9.672,511.648,0.057,0.003,-1.623,-1.754,0.050,-0.170,0.003
43.350,64.754,0.062,0.158,0.952,2.707,0.164,0.259,0.005
0.160,241.472,0.000,0.066,-1.554,-2.021,0.416,-0.115,0.014
68.501,249.672,0.014,0.179,-1.324,-1.549,0.295,0.141,0.005
-99999.000,29.487,0.111,0.074,1.125,1.701,0.155,0.510,0.002
7.165,164.008,0.000,0.224,-1.938,-1.067,0.253,-0.369,0.005
15.304,194.892,0.819,0.061,-0.063,-0.098,0.140,0.869,0.852
0.138,39.265,0.000,0.003,2.277,0.427,0.225,-0.221,0.003
151.350,16.512,0.112,0.454,0.325,2.537,0.187,0.850,0.012
25.131,34.841,0.076,0.141,0.564,2.062,0.127,0.838,0.005
34.516,28.231,0.110,0.113,1.038,1.502,0.146,0.599,0.006
119.617,19.144,0.022,0.150,1.877,1.226,0.370,-0.161,0.006
103.357,48.472,0.159,0.118,-0.467,-2.619,0.193,0.611,0.007
60.139,36.588,0.005,0.032,0.789,2.390,0.220,0.568,0.004
52.931,54.902,0.112,0.419,0.608,0.975,0.079,0.844,0.030
14.588,28.744,0.018,0.203,0.953,2.358,0.247,0.461,0.003
57.670,50.932,0.550,0.470,0.110,2.939,0.173,0.842,0.042
87.922,40.995,0.091,0.412,-1.268,-1.649,0.130,0.188,0.003
19.116,142.756,0.024,0.062,-1.698,-2.387,0.112,-0.216,0.006
17.471,551.250,0.008,0.004,-1.610,-1.794,0.096,-0.159,0.002
-99999.000,58.865,0.033,0.487,-1.845,-1.746,0.133,-0.379,0.008
36.664,108.288,0.088,0.222,0.107,0.063,0.595,0.577,0.067
47.338,57.841,0.081,0.293,1.097,2.094,0.132,0.450,0.006
0.731,138.888,0.070,0.341,-1.574,-1.915,0.108,-0.129,0.004
0.268,139.795,0.000,0.003,-0.393,-2.691,0.198,0.637,0.013
17.014,746.909,0.008,0.058,-1.830,-2.186,0.238,-0.339,0.010
8.484,35.873,0.090,0.212,-0.921,-1.654,0.112,0.509,0.002
108.485,109.887,0.058,0.027,0.604,1.375,0.090,0.879,0.108
-99999.000,86.064,0.104,0.342,-0.826,-2.309,0.153,0.450,0.008
35.893,112.210,0.017,0.462,-1.411,-1.463,0.124,0.061,0.004
17.058,62.383,0.111,0.466,-2.109,-1.478,0.219,-0.591,0.009
64.509,38.724,0.099,0.046,1.011,1.287,0.147,0.618,0.009
-99999.000,339.610,0.056,0.082,0.644,0.524,0.212,0.651,0.066
0.063,39.898,0.337,0.455,1.117,1.855,0.493,0.492,0.011
0.166,35.973,0.000,0.105,1.078,0.893,0.174,0.504,0.003
46.903,67.779,0.060,0.483,1.225,1.400,0.276,0.443,0.011
29.535,195.620,0.028,0.123,1.026,0.966,0.114,0.560,0.009
0.101,34.305,0.000,0.007,1.939,2.148,0.407,-0.261,0.006
0.191,160.874,0.000,0.354,-2.834,-1.898,0.057,-0.980,0.036
75.767,65.822,0.045,0.319,0.547,1.210,0.170,0.900,0.098
16.432,107.117,0.008,0.150,-1.495,-1.612,0.220,-0.034,0.004
43.339,84.109,0.031,0.048,-1.465,-2.055,0.211,-0.037,0.009
26.230,21.670,0.391,0.117,0.027,0.018,0.220,0.615,0.049
209.650,214.011,0.009,0.464,-1.214,-0.388,0.089,0.171,0.006
16.888,145.284,0.010,0.155,-1.318,-1.702,0.126,0.134,0.003
-99999.000,25.349,0.078,0.224,-0.494,-2.184,0.217,0.755,0.010
14.381,35.364,0.097,0.328,1.172,1.888,0.151,0.439,0.002
8.182,47.830,0.087,0.333,-2.276,-0.715,0.124,-0.491,0.003
37.894,134.821,0.244,0.065,1.202,1.845,0.111,0.421,0.006
14.955,405.262,0.084,0.027,-0.936,-1.111,0.063,0.495,0.005
11.346,25.626,0.012,0.408,1.142,1.847,0.203,0.473,0.002
4.582,127.891,0.000,0.146,2.849,2.148,0.750,-0.917,0.166
-99999.000,40.114,0.057,0.113,0.719,2.172,0.234,0.711,0.009
-99999.000,39.127,0.146,0.151,-1.278,-2.771,0.132,-0.004,0.003
159.114,67.580,0.056,0.439,-2.278,-1.278,0.118,-0.689,0.006
6.591,394.692,0.041,0.010,-0.836,-2.260,0.273,0.459,0.005
0.060,951.905,0.342,0.000,-0.017,-0.025,0.088,0.867,0.837
71.061,19.270,0.006,0.190,-1.225,-1.892,0.285,0.202,0.002
30.781,12.536,0.027,0.379,-2.438,-1.854,0.311,-0.825,0.006
80.623,48.807,0.543,0.152,-0.713,-0.141,0.341,0.222,0.019
19.295,344.086,0.090,0.016,1.868,0.312,0.220,0.015,0.009
13.217,60.247,0.051,0.264,-1.925,-1.439,0.198,-0.431,0.006
31.351,32.821,0.079,0.208,-1.588,-1.578,0.126,-0.123,0.002
33.944,138.958,0.242,0.095,-0.856,-2.581,0.155,0.304,0.013
0.445,117.184,0.100,0.379,-1.899,-2.409,0.047,-0.346,0.008
66.531,130.220,0.817,0.142,-0.533,-1.136,0.219,0.796,0.114
48.667,31.524,0.045,0.226,1.053,1.347,0.158,0.587,0.005
13.545,47.231,0.133,0.443,1.159,2.033,0.178,0.417,0.002
18.163,97.399,0.185,0.180,0.905,0.574,0.098,0.503,0.014
0.014,228.870,0.000,0.287,-0.785,-0.338,0.081,0.350,0.004
40.193,148.974,0.089,0.211,0.425,1.273,0.103,0.949,0.084
0.242,163.191,0.010,0.045,-2.069,-2.085,0.173,-0.543,0.023
0.112,52.136,0.000,0.090,-0.007,-3.132,0.166,0.757,0.014
15.542,27.094,0.000,0.079,-3.079,-2.994,0.146,-0.948,0.170
74.007,20.035,0.008,0.192,-1.085,-1.360,0.127,0.377,0.002
31.701,25.341,0.041,0.413,1.337,0.954,0.130,0.319,0.002
0.335,78.783,0.000,0.033,2.005,0.904,0.187,-0.215,0.008
0.118,35.625,0.000,0.026,1.357,1.616,0.517,0.310,0.010
-99999.000,133.752,0.010,0.030,-1.242,-1.787,0.190,0.199,0.006
64.996,92.266,0.282,0.227,0.034,0.032,0.243,0.744,0.386
82.803,89.664,0.723,0.121,-1.997,-1.693,0.160,-0.512,0.181
0.050,248.280,0.000,0.388,0.790,2.499,0.086,0.506,0.002
8.248,28.848,0.013,0.137,-1.127,-1.477,0.156,0.335,0.003
58.243,37.295,0.070,0.357,1.414,1.042,0.105,0.264,0.002
6.457,213.418,0.000,0.278,-0.414,-2.310,0.046,0.784,0.007
18.607,1758.182,0.009,0.055,1.156,1.764,0.269,0.475,0.004
35.011,123.844,0.137,0.179,-1.508,-1.386,0.074,-0.028,0.007
137.119,35.179,0.044,0.293,1.090,2.746,0.212,0.164,0.003
18.031,189.864,0.005,0.004,-1.142,-2.204,0.057,0.219,0.004
12.708,33.034,0.178,0.437,0.463,2.333,0.141,0.828,0.004
20.605,75.210,0.134,0.165,-2.340,-2.415,0.057,-0.645,0.039
0.144,136.023,0.002,0.309,1.329,1.449,0.033,0.348,0.002
78.806,28.562,0.096,0.454,0.457,2.628,0.239,0.689,0.010
113.942,153.254,0.000,0.478,-1.427,-1.326,0.164,0.055,0.009
9.281,202.394,0.068,0.049,-1.610,-2.042,0.454,-0.165,0.020
105.086,33.968,0.051,0.410,1.535,2.019,0.155,0.094,0.002
0.275,29.682,0.029,0.114,-1.585,-1.955,0.104,-0.141,0.003
-99999.000,116.888,0.005,0.052,-1.390,-1.119,0.074,0.100,0.004
-99999.000,60.185,0.052,0.420,-0.411,-2.837,0.179,0.473,0.005
20.452,51.257,0.669,0.185,-0.115,-2.115,0.360,0.965,0.039
94.140,226.727,0.072,0.000,1.290,0.522,0.069,0.261,0.028
2.330,266.444,0.077,0.013,-1.691,-0.774,0.055,-0.101,0.007
21.939,58.308,0.166,0.127,-1.096,-0.990,0.153,0.350,0.006
63.940,159.826,0.206,0.166,0.577,0.243,0.099,0.440,0.025
4.438,77.495,0.151,0.091,-1.982,-1.512,0.278,-0.489,0.018
36.779,22.029,0.359,0.273,0.307,0.286,0.212,0.738,0.098
34.619,130.818,0.289,0.293,-0.458,-0.360,0.023,0.606,0.058
29.656,163.492,0.000,0.207,1.915,2.375,0.061,-0.223,0.002
14.220,160.305,0.047,0.390,-1.634,-1.372,0.210,-0.149,0.004
15.559,41.683,0.015,0.218,-1.452,-1.707,0.468,0.002,0.009
77.615,30.361,0.195,0.486,0.926,1.256,0.418,0.679,0.062
114.913,41.309,0.000,0.119,-2.684,-1.429,0.491,-0.929,0.039
52.479,145.235,0.000,0.056,0.861,1.428,0.142,0.731,0.036
59.315,68.691,0.212,0.277,0.156,0.548,0.197,0.984,0.283
93.467,12.497,0.013,0.424,1.441,0.393,0.313,0.163,0.006
