run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
5564.000,160.000,8019.000,-0.000,-14622437014834134384640.000,12.222,647.310,0.381,0.001,0.371,2.382,0.100,0.871,0.008
5384.000,0.000,15.000,-0.000,-14622437014834134384640.000,4.560,120.777,0.338,0.237,-1.853,-0.781,0.313,-0.216,0.013
5384.000,2.000,137.000,-0.000,-14622437014834134384640.000,26.365,577.236,0.307,0.012,-0.663,-1.181,0.090,0.713,0.010
5912.000,3.000,186.000,-0.000,-14622437014834134384640.000,10.003,172.565,0.749,0.165,0.924,2.857,0.121,0.161,0.007
5536.000,2.000,112.000,-0.000,-14622437014834134384640.000,11.979,271.973,0.451,0.408,-0.628,-0.197,0.031,0.313,0.007
5134.000,5.000,298.000,-0.000,-14622437014834134384640.000,14.064,71.081,0.053,0.479,-1.631,-1.702,0.149,-0.174,0.008
5418.000,79.000,3951.000,-0.000,-14622437014834134384640.000,0.215,275.607,0.000,0.284,-2.345,-0.358,0.049,-0.287,0.005
5418.000,80.000,4005.000,-0.000,-14622437014834134384640.000,28.239,1496.839,0.262,0.051,0.533,1.151,0.154,0.903,0.140
5024.000,5.000,269.000,-1000247708154498349949070612140916736.000,0.000,15.594,56.852,0.166,0.321,-1.696,-0.896,0.162,-0.131,0.006
5216.000,63.000,3176.000,-0.000,-14622437014834134384640.000,156.611,170.518,0.040,0.068,0.928,0.482,0.343,0.437,0.019
5906.000,9.000,475.000,-0.000,-14622437014834134384640.000,41.339,36.268,0.062,0.440,1.096,0.831,0.145,0.475,0.003
5588.000,129.000,6478.000,-0.000,-14622437014834134384640.000,50.224,100.808,0.156,0.259,0.735,0.811,0.172,0.722,0.060
5371.000,26.000,1332.000,-0.000,-14622437014834134384640.000,0.156,680.421,0.000,0.003,-0.843,-0.398,0.075,0.354,0.002
5946.000,71.000,3597.000,-0.000,-14622437014834134384640.000,25.944,100.324,0.182,0.136,-2.722,-0.883,0.294,-0.874,0.028
5946.000,75.000,3784.000,-0.000,-14622437014834134384640.000,12.255,1042.096,0.790,0.079,0.023,0.458,0.256,0.996,0.094
5912.000,95.000,4794.000,-0.000,-14622437014834134384640.000,14.754,522.372,0.536,0.016,0.846,1.029,0.190,0.704,0.024
5462.000,4.000,218.000,-14747.215,-2344335872.000,150.772,517.930,0.999,0.003,-0.083,-0.092,0.117,0.782,0.563
5412.000,6.000,335.000,-0.000,-14622437014834134384640.000,-99999.000,83.761,0.078,0.471,-0.691,-1.609,0.143,0.694,0.019
5953.000,11.000,584.000,-0.000,-14622437014834134384640.000,29.955,57.585,0.154,0.018,1.556,1.638,0.175,0.115,0.007
5128.000,25.000,1296.000,-0.000,-14622437014834134384640.000,-99999.000,192.163,0.051,0.453,-0.396,-0.532,0.070,0.774,0.065
5071.000,63.000,3159.000,-0.000,-14622437014834134384640.000,12.840,62.069,0.276,0.369,-0.882,-1.770,0.135,0.529,0.008
5227.000,15.000,787.000,-0.000,-14622437014834134384640.000,31.174,82.382,0.082,0.374,1.909,0.575,0.047,-0.064,0.009
5227.000,35.000,1771.000,-0.000,-14622437014834134384640.000,3.992,303.529,0.012,0.001,-2.779,-1.558,0.220,-0.964,0.098
5961.000,0.000,14.000,-0.000,-14622437014834134384640.000,32.102,819.605,0.770,0.017,0.087,0.657,0.286,0.999,0.297
5961.000,4.000,202.000,-0.000,-14622437014834134384640.000,120.858,614.748,0.984,0.105,0.528,0.932,0.175,0.880,0.486
5961.000,5.000,266.000,-0.000,-14622437014834134384640.000,54.621,209.141,0.127,0.045,-0.917,-2.002,0.116,0.460,0.008
5235.000,70.000,3549.000,-0.000,-14622437014834134384640.000,55.019,102.118,0.095,0.147,-0.113,-1.651,0.626,0.972,0.039
5366.000,0.000,2.000,-0.000,-14622437014834134384640.000,0.196,446.626,0.000,0.458,-0.500,-1.089,0.355,0.814,0.033
5384.000,11.000,555.000,-0.000,-14622437014834134384640.000,52.899,397.455,0.086,0.015,0.319,0.143,0.194,0.477,0.028
5331.000,66.000,3326.000,-0.000,-14622437014834134384640.000,0.060,940.412,0.000,0.003,0.293,0.496,0.138,0.901,0.647
5013.000,42.000,2120.000,-14747.215,-2344335872.000,32.244,61.000,0.314,0.450,-1.011,-3.047,0.107,-0.030,0.006
5013.000,49.000,2476.000,-14747.215,-2344335872.000,21.312,187.278,0.307,0.004,0.909,1.602,0.172,0.691,0.017
5341.000,12.000,648.000,-0.000,-14622437014834134384640.000,15.845,290.283,0.055,0.151,1.667,2.925,0.603,-0.075,0.009
5536.000,30.000,1518.000,-0.000,-14622437014834134384640.000,12.050,25.193,0.112,0.209,0.827,2.018,0.191,0.680,0.007
5375.000,43.000,2196.000,-0.000,-14622437014834134384640.000,43.130,441.277,0.816,0.030,0.185,1.298,0.182,0.997,0.145
5938.000,42.000,2105.000,-0.000,-14622437014834134384640.000,0.165,136.912,0.000,0.099,-0.793,-1.866,0.193,0.589,0.007
5005.000,42.000,2148.000,-0.000,-14622437014834134384640.000,11.379,299.899,0.286,0.008,0.821,1.660,0.101,0.746,0.010
5005.000,45.000,2261.000,-0.000,-14622437014834134384640.000,28.402,44.800,0.176,0.269,0.325,1.018,0.126,0.970,0.028
4971.000,77.000,3895.000,-0.000,-14622437014834134384640.000,0.349,168.263,0.000,0.250,-1.077,-1.361,0.044,0.384,0.003
5547.000,2.000,124.000,-0.000,-14622437014834134384640.000,12.827,658.024,0.344,0.008,0.037,0.072,0.183,0.921,0.965
5935.000,59.000,2990.000,-0.000,-14622437014834134384640.000,0.041,355.618,0.000,0.002,-1.175,-1.094,0.159,0.291,0.005
5508.000,62.000,3115.000,-0.000,-14622437014834134384640.000,11.052,233.279,0.959,0.018,0.158,1.928,0.291,0.989,0.032
5396.000,38.000,1931.000,-1000247708154498349949070612140916736.000,0.000,33.713,361.069,0.138,0.011,-1.042,-2.302,0.089,0.274,0.005
5086.000,11.000,570.000,-0.000,-14622437014834134384640.000,25.272,60.068,0.028,0.134,1.017,1.340,0.219,0.615,0.017
5025.000,120.000,6014.000,-0.000,-14622437014834134384640.000,19.154,212.140,0.000,0.254,1.733,1.524,0.110,-0.052,0.002
5197.000,13.000,687.000,-0.000,-14622437014834134384640.000,28.831,51.567,0.232,0.388,-2.505,-1.264,0.125,-0.831,0.006
5078.000,54.000,2734.000,-0.000,-14622437014834134384640.000,114.980,205.538,0.000,0.003,0.130,1.266,0.259,0.999,0.113
5513.000,13.000,700.000,-0.000,-14622437014834134384640.000,100.412,157.358,0.066,0.038,0.719,1.333,0.162,0.818,0.080
5376.000,51.000,2584.000,-0.000,-14622437014834134384640.000,113.124,20.193,0.258,0.115,1.016,0.760,0.326,0.510,0.017
5376.000,51.000,2596.000,-0.000,-14622437014834134384640.000,-99999.000,115.812,0.706,0.195,-3.096,-0.073,0.287,-0.805,0.071
5139.000,77.000,3894.000,-0.000,-14622437014834134384640.000,2.603,396.347,0.000,0.082,0.389,1.924,0.339,0.937,0.022
5222.000,18.000,917.000,-0.000,-14622437014834134384640.000,-99999.000,242.810,0.838,0.416,-0.559,-2.555,0.143,0.564,0.010
5947.000,74.000,3729.000,-0.000,-14622437014834134384640.000,8.187,200.040,0.079,0.021,1.394,0.657,0.127,0.234,0.007
5947.000,74.000,3743.000,-0.000,-14622437014834134384640.000,38.130,238.550,0.022,0.106,-1.553,-1.499,0.075,-0.083,0.004
5059.000,71.000,3589.000,-0.000,-14622437014834134384640.000,85.235,540.995,0.970,0.021,-0.099,-0.177,0.147,0.892,0.955
5164.000,62.000,3126.000,-0.000,-14622437014834134384640.000,40.844,515.904,0.901,0.001,-0.056,-0.082,0.120,0.858,0.919
5385.000,106.000,5307.000,-0.000,-14622437014834134384640.000,60.586,165.471,0.004,0.201,-1.708,-1.413,0.070,-0.226,0.005
5385.000,106.000,5317.000,-0.000,-14622437014834134384640.000,7.495,1555.203,0.000,0.001,-1.324,-1.368,0.084,0.152,0.002
5564.000,11.000,593.000,-0.000,-14622437014834134384640.000,55.724,65.065,0.000,0.041,-2.412,-1.412,0.225,-0.796,0.014
5568.000,17.000,894.000,-0.000,-14622437014834134384640.000,0.130,230.278,0.000,0.364,0.311,1.114,0.300,0.977,0.070
5106.000,86.000,4319.000,-0.000,-14622437014834134384640.000,85.803,83.994,0.788,0.293,-0.250,-2.398,0.144,0.882,0.095
5051.000,28.000,1416.000,-0.000,-14622437014834134384640.000,54.177,292.863,0.104,0.012,-0.858,-0.603,0.136,0.440,0.009
5930.000,41.000,2057.000,-0.000,-14622437014834134384640.000,44.937,118.493,0.340,0.147,0.431,2.552,0.120,0.760,0.022
5388.000,44.000,2234.000,-0.000,-14622437014834134384640.000,-99999.000,26.972,0.000,0.251,-2.023,-1.714,0.115,-0.534,0.005
5493.000,17.000,870.000,-0.000,-14622437014834134384640.000,-99999.000,62.720,0.206,0.141,3.046,0.462,0.207,-0.944,0.070
5493.000,19.000,955.000,-0.000,-14622437014834134384640.000,1.135,871.401,0.106,0.010,-1.327,-1.793,0.598,0.116,0.014
5194.000,4.000,220.000,-0.000,-14622437014834134384640.000,-99999.000,91.941,0.064,0.463,-0.557,-1.933,0.067,0.754,0.020
4975.000,101.000,5094.000,-0.000,-14622437014834134384640.000,100.712,416.253,0.398,0.023,-0.035,-2.880,0.363,0.969,0.070
5339.000,43.000,2161.000,-0.000,-14622437014834134384640.000,0.220,142.840,0.000,0.050,-1.742,-2.605,0.161,-0.209,0.007
5404.000,44.000,2237.000,-0.000,-14622437014834134384640.000,0.042,28.332,0.000,0.115,-0.217,-2.635,0.255,0.852,0.015
5388.000,12.000,625.000,-0.000,-14622437014834134384640.000,5.898,150.941,0.622,0.061,0.976,1.798,0.202,0.617,0.011
5154.000,52.000,2623.000,-0.000,-14622437014834134384640.000,0.099,524.798,0.512,0.006,0.393,1.609,0.423,0.955,0.033
5154.000,99.000,4951.000,-0.000,-14622437014834134384640.000,-99999.000,233.070,0.846,0.015,0.188,1.346,0.116,0.996,0.244
5456.000,12.000,623.000,-0.000,-14622437014834134384640.000,-99999.000,233.822,0.242,0.029,-0.971,-2.842,0.140,0.092,0.009
