sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
55.517,20.334,0.006,0.065,-1.126,-1.456,0.178,0.337,0.002
4.266,1654.616,0.000,0.022,-1.407,-0.964,0.027,0.092,0.003
0.113,95.550,0.000,0.168,-0.430,-2.315,0.300,0.771,0.020
42.417,62.399,0.152,0.187,-2.060,-1.753,0.231,-0.565,0.017
49.758,94.826,0.009,0.209,-1.520,-1.979,0.048,-0.082,0.005
0.142,272.799,0.000,0.054,-1.570,-1.576,0.052,-0.106,0.004
29.437,100.891,0.029,0.473,1.045,1.643,0.315,0.584,0.010
6.773,69.367,0.005,0.095,-1.405,-1.475,0.213,0.066,0.006
60.661,48.266,0.033,0.105,1.633,1.739,0.135,0.031,0.004
108.402,282.775,0.010,0.167,-1.705,-1.277,0.047,-0.206,0.005
120.516,93.574,0.102,0.237,-2.077,-2.633,0.131,-0.375,0.027
80.132,39.930,0.029,0.344,1.759,1.836,0.182,-0.099,0.002
0.097,102.144,0.000,0.398,-1.612,-1.762,0.123,-0.159,0.003
0.874,204.109,0.000,0.277,-1.809,-1.882,0.024,-0.345,0.006
7.257,336.592,0.062,0.481,-0.875,-2.311,0.152,0.408,0.007
10.198,750.846,0.264,0.015,1.045,2.308,0.070,0.415,0.003
0.057,168.941,0.000,0.022,-1.719,-1.537,0.296,-0.249,0.005
19.998,38.206,0.021,0.186,1.255,1.568,0.485,0.409,0.010
0.952,38.097,0.000,0.020,0.269,1.025,0.563,0.984,0.051
103.709,54.657,0.093,0.149,0.645,0.534,0.260,0.656,0.049
36.799,39.016,0.004,0.058,1.849,1.543,0.249,-0.168,0.002
52.763,71.845,0.035,0.398,-1.194,-1.476,0.182,0.272,0.005
0.040,820.538,0.006,0.004,-1.656,-2.231,0.034,-0.199,0.002
11.088,65.691,0.036,0.270,-1.921,-2.468,0.118,-0.345,0.009
13.811,53.671,0.089,0.335,1.496,1.346,0.145,0.193,0.003
-99999.000,47.670,0.011,0.437,0.840,1.383,0.227,0.744,0.016
24.818,166.797,0.111,0.457,-1.056,-0.919,0.033,0.373,0.005
32.332,70.330,0.013,0.479,-2.042,-1.624,0.112,-0.548,0.008
6.879,110.702,0.462,0.138,-0.709,-1.139,0.224,0.677,0.032
0.396,49.015,0.013,0.340,1.407,1.701,0.087,0.254,0.002
-99999.000,163.242,0.089,0.039,-0.968,-0.578,0.101,0.356,0.006
319.834,718.976,0.058,0.167,1.489,1.716,0.078,0.173,0.004
11.732,90.191,0.002,0.391,-1.426,-1.496,0.048,0.044,0.003
0.116,52.196,0.010,0.393,-1.734,-2.116,0.279,-0.269,0.004
16.429,315.599,0.207,0.006,-2.531,-0.709,0.064,-0.682,0.013
98.960,419.304,0.160,0.017,-0.467,-0.897,0.057,0.814,0.064
24.184,206.526,0.009,0.388,-1.114,-1.210,0.076,0.349,0.003
30.799,340.168,0.047,0.340,-0.274,-0.460,0.445,0.850,0.276
6.984,86.483,0.089,0.094,1.611,1.791,0.054,0.047,0.005
18.966,998.048,0.000,0.104,-1.588,-1.932,0.299,-0.143,0.005
-99999.000,44.867,0.164,0.232,-2.662,-1.049,0.120,-0.877,0.014
8.590,883.540,0.740,0.119,-0.439,-0.736,0.035,0.805,0.011
30.223,27.521,0.438,0.323,0.287,2.914,0.152,0.558,0.011
7.294,56.910,0.588,0.410,1.181,1.844,0.289,0.440,0.013
0.313,158.045,0.000,0.081,-1.323,-1.137,0.091,0.160,0.004
29.701,186.087,0.260,0.025,1.605,1.588,0.185,0.071,0.007
3.585,164.590,0.006,0.200,1.373,1.987,0.079,0.242,0.002
-99999.000,153.891,0.009,0.032,-1.415,-1.654,0.077,0.042,0.003
31.903,44.658,0.059,0.206,-2.025,-1.350,0.158,-0.504,0.004
49.031,43.968,0.771,0.314,-0.149,-2.495,0.501,0.931,0.045
8.949,98.780,0.065,0.206,-0.935,-1.810,0.171,0.479,0.006
0.099,337.081,0.033,0.437,1.685,0.648,0.047,0.058,0.005
9.458,277.537,0.000,0.291,0.597,1.610,0.047,0.878,0.009
16.828,114.121,0.016,0.183,-1.294,-1.070,0.121,0.186,0.004
0.022,49.110,0.000,0.230,-0.720,-1.144,0.258,0.669,0.016
0.042,237.217,0.000,0.047,-1.506,-1.985,0.058,-0.070,0.004
9.221,61.536,0.000,0.278,-1.094,-1.435,0.064,0.368,0.004
13.692,172.575,0.035,0.155,1.411,1.996,0.147,0.207,0.003
10.979,228.567,0.018,0.020,-0.843,-1.797,0.180,0.558,0.005
42.432,27.563,0.034,0.233,0.500,0.611,0.247,0.804,0.111
20.278,42.008,0.011,0.493,0.718,1.399,0.229,0.820,0.012
8.313,125.680,0.124,0.149,-1.207,-1.150,0.336,0.264,0.008
29.656,117.510,0.054,0.075,0.940,1.814,0.027,0.642,0.009
0.170,146.055,0.000,0.267,0.834,2.009,0.136,0.678,0.010
19.338,33.095,0.028,0.417,-1.116,-2.078,0.116,0.269,0.001
-99999.000,27.650,0.234,0.035,1.497,0.370,0.279,0.139,0.008
-99999.000,58.997,0.120,0.015,-1.365,-1.710,0.179,0.087,0.009
11.770,276.364,0.034,0.007,-1.551,-1.558,0.189,-0.085,0.005
15.344,225.230,0.034,0.014,-0.900,-1.364,0.289,0.539,0.006
69.210,45.448,0.027,0.235,-1.238,-2.231,0.123,0.133,0.002
50.527,251.708,0.021,0.027,-1.968,-1.185,0.172,-0.423,0.008
0.076,127.470,0.000,0.060,1.228,1.665,0.414,0.424,0.009
0.055,91.602,0.000,0.021,-1.984,-2.267,0.128,-0.442,0.015
24.680,113.575,0.116,0.221,-0.841,-2.282,0.259,0.447,0.008
61.298,996.832,0.001,0.049,-1.444,-1.726,0.033,0.008,0.003
0.177,162.856,0.000,0.212,-1.492,-1.525,0.104,-0.024,0.003
-99999.000,23.248,0.088,0.477,-0.979,-1.890,0.086,0.427,0.005
8.445,71.623,0.014,0.311,-1.282,-1.417,0.082,0.190,0.004
7.730,30.158,0.100,0.458,0.451,1.936,0.204,0.913,0.007
15.766,104.536,0.198,0.047,-0.987,-1.993,0.292,0.401,0.010
0.024,492.391,0.000,0.025,-1.201,-1.440,0.058,0.267,0.003
0.300,41.461,0.000,0.466,-2.000,-2.517,0.181,-0.378,0.004
151.073,207.159,0.009,0.147,-1.508,-1.695,0.055,-0.053,0.004
32.139,30.258,0.210,0.142,0.791,2.142,0.267,0.670,0.010
50.356,223.185,0.069,0.108,1.669,1.598,0.074,0.007,0.004
