run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
4986.000,19.000,988.000,-0.000,-14622437014834134384640.000,46.321,1423.268,0.002,0.136,-1.500,-1.733,0.272,-0.048,0.006
5965.000,33.000,1674.000,-0.000,-14622437014834134384640.000,0.405,111.420,0.038,0.016,1.121,1.445,0.334,0.532,0.008
4969.000,111.000,5593.000,-0.000,-14622437014834134384640.000,8.504,134.107,0.042,0.012,1.225,1.320,0.126,0.442,0.005
5492.000,4.000,208.000,-0.000,-14622437014834134384640.000,-99999.000,528.416,0.430,0.008,-0.777,-0.965,0.154,0.604,0.023
5779.000,16.000,825.000,-0.000,-14622437014834134384640.000,19.330,148.978,0.099,0.186,1.141,1.910,0.091,0.461,0.003
5779.000,27.000,1394.000,-0.000,-14622437014834134384640.000,22.872,131.696,0.004,0.127,-1.453,-1.728,0.401,-0.001,0.008
5531.000,99.000,4977.000,-0.000,-14622437014834134384640.000,121.654,313.022,0.958,0.001,-0.356,-1.340,0.078,0.895,0.102
5459.000,149.000,7479.000,-0.000,-14622437014834134384640.000,237.086,171.729,0.873,0.460,-0.652,-1.676,0.259,0.717,0.099
5153.000,103.000,5160.000,-0.000,-14622437014834134384640.000,57.008,111.521,0.213,0.386,2.760,0.292,0.163,-0.491,0.019
4998.000,161.000,8056.000,-0.000,-14622437014834134384640.000,120.839,103.930,0.515,0.250,0.450,0.703,0.102,0.871,0.236
4998.000,167.000,8365.000,-0.000,-14622437014834134384640.000,51.908,314.314,0.358,0.004,-1.325,-1.664,0.174,0.130,0.008
5229.000,32.000,1605.000,-0.000,-14622437014834134384640.000,42.712,433.822,0.054,0.106,0.629,0.782,0.270,0.783,0.066
5911.000,44.000,2213.000,-0.000,-14622437014834134384640.000,-99999.000,64.289,0.025,0.483,-2.360,-1.682,0.113,-0.782,0.009
5396.000,14.000,715.000,-0.000,-14622437014834134384640.000,11.396,257.911,0.911,0.026,0.588,0.779,0.346,0.809,0.113
5092.000,60.000,3018.000,-0.000,-14622437014834134384640.000,44.449,318.193,0.025,0.172,-0.505,-0.563,0.296,0.696,0.024
5092.000,62.000,3127.000,-0.000,-14622437014834134384640.000,2.368,801.483,0.199,0.090,0.229,0.264,0.370,0.808,0.259
5092.000,67.000,3390.000,-0.000,-14622437014834134384640.000,29.220,314.867,0.207,0.008,-0.340,-0.341,0.073,0.710,0.046
5013.000,92.000,4640.000,-0.000,-14622437014834134384640.000,55.806,35.336,0.111,0.150,-1.390,-1.721,0.199,0.061,0.003
5627.000,9.000,491.000,-1000247708154498349949070612140916736.000,0.000,27.005,223.351,0.917,0.183,0.313,1.100,0.141,0.976,0.368
5532.000,45.000,2281.000,-0.000,-14622437014834134384640.000,14.993,1074.104,0.970,0.031,-0.023,-2.251,0.439,0.987,0.012
5366.000,0.000,2.000,-0.000,-14622437014834134384640.000,0.196,446.699,0.000,0.456,-0.500,-1.089,0.355,0.814,0.033
5157.000,11.000,569.000,-0.000,-14622437014834134384640.000,-99999.000,79.054,0.870,0.242,-0.074,-0.340,0.318,0.976,0.555
5515.000,46.000,2307.000,-0.000,-14622437014834134384640.000,9.688,955.194,0.848,0.000,-0.313,-0.404,0.244,0.785,0.171
5212.000,21.000,1052.000,-0.000,-14622437014834134384640.000,-99999.000,30.882,0.000,0.190,1.240,1.929,0.308,0.371,0.003
5783.000,104.000,5202.000,-0.000,-14622437014834134384640.000,74.562,91.382,0.131,0.170,-2.363,-1.213,0.200,-0.735,0.034
5121.000,11.000,571.000,-0.000,-14622437014834134384640.000,-99999.000,72.781,0.007,0.446,-1.584,-2.013,0.087,-0.142,0.004
5151.000,130.000,6525.000,-0.000,-14622437014834134384640.000,88.190,143.279,0.363,0.007,2.454,0.326,0.058,-0.259,0.044
5338.000,19.000,991.000,-0.000,-14622437014834134384640.000,10.325,1124.459,0.340,0.011,0.086,0.153,0.040,0.908,0.962
5474.000,0.000,37.000,-0.000,-14622437014834134384640.000,0.084,397.939,0.000,0.003,0.144,0.197,0.159,0.856,0.849
5489.000,14.000,729.000,-0.000,-14622437014834134384640.000,19.235,24.791,0.133,0.244,-1.611,-2.824,0.293,-0.121,0.002
4999.000,2.000,131.000,-0.000,-14622437014834134384640.000,29.835,1013.120,0.995,0.005,0.047,0.083,0.151,0.906,0.991
5519.000,145.000,7265.000,-0.000,-14622437014834134384640.000,0.139,145.452,0.000,0.048,2.221,0.989,0.264,-0.420,0.007
5519.000,148.000,7404.000,-0.000,-14622437014834134384640.000,-99999.000,58.909,0.016,0.247,1.041,1.073,0.138,0.570,0.008
5521.000,86.000,4321.000,-0.000,-14622437014834134384640.000,2.910,159.522,0.038,0.439,-2.620,-1.604,0.030,-0.913,0.027
5099.000,25.000,1285.000,-0.000,-14622437014834134384640.000,15.302,31.104,0.432,0.261,0.369,2.545,0.152,0.813,0.010
5092.000,184.000,9214.000,-0.000,-14622437014834134384640.000,20.317,45.001,0.898,0.092,-0.107,-0.241,0.258,0.925,0.738
5911.000,2.000,129.000,-0.000,-14622437014834134384640.000,-99999.000,59.220,0.156,0.176,2.630,1.450,0.258,-0.806,0.027
5489.000,76.000,3832.000,-0.000,-14622437014834134384640.000,-99999.000,224.639,0.314,0.052,-0.993,-0.461,0.168,0.299,0.015
5268.000,6.000,323.000,-0.000,-14622437014834134384640.000,-99999.000,240.553,0.816,0.413,-0.107,-2.249,0.105,0.964,0.032
5034.000,76.000,3801.000,-0.000,-14622437014834134384640.000,29.747,224.186,0.083,0.445,-0.462,-2.998,0.035,0.184,0.005
5034.000,78.000,3923.000,-0.000,-14622437014834134384640.000,10.962,99.763,0.417,0.136,0.377,0.250,0.290,0.613,0.068
5109.000,15.000,756.000,-0.000,-14622437014834134384640.000,-99999.000,43.016,0.074,0.340,-1.593,-1.955,0.147,-0.148,0.003
5779.000,14.000,747.000,-0.000,-14622437014834134384640.000,-99999.000,238.890,0.713,0.042,0.173,0.361,0.180,0.937,0.940
5005.000,183.000,9158.000,-0.000,-14622437014834134384640.000,24.727,25.155,0.282,0.149,0.226,2.655,0.278,0.881,0.034
4975.000,8.000,412.000,-0.000,-14622437014834134384640.000,48.473,31.963,0.037,0.235,-1.015,-0.916,0.189,0.405,0.002
5169.000,145.000,7279.000,-0.000,-14622437014834134384640.000,18.102,39.083,0.100,0.260,-1.361,-2.060,0.120,0.054,0.002
5585.000,1.000,84.000,-0.000,-14622437014834134384640.000,11.184,203.872,0.018,0.003,-1.080,-1.133,0.119,0.376,0.004
5384.000,0.000,15.000,-0.000,-14622437014834134384640.000,4.560,120.777,0.338,0.237,-1.853,-0.781,0.313,-0.216,0.013
5384.000,2.000,137.000,-0.000,-14622437014834134384640.000,2.788,577.539,0.000,0.012,-0.604,-1.142,0.144,0.751,0.009
5588.000,175.000,8770.000,-1000247708154498349949070612140916736.000,0.000,89.767,424.585,0.925,0.031,-0.203,-0.193,0.075,0.718,0.441
4986.000,36.000,1833.000,-0.000,-14622437014834134384640.000,42.009,748.940,0.000,0.018,-0.896,-1.423,0.494,0.542,0.019
5966.000,45.000,2252.000,-0.000,-14622437014834134384640.000,0.056,81.586,0.063,0.018,0.833,0.893,0.164,0.681,0.097
5382.000,151.000,7552.000,-0.000,-14622437014834134384640.000,14.282,84.423,0.042,0.425,-0.985,-2.203,0.110,0.351,0.005
5382.000,152.000,7637.000,-0.000,-14622437014834134384640.000,11.624,103.286,0.567,0.369,0.259,2.521,0.226,0.901,0.018
5382.000,157.000,7887.000,-0.000,-14622437014834134384640.000,159.594,285.172,0.000,0.143,-1.519,-1.853,0.107,-0.075,0.005
5953.000,11.000,584.000,-0.000,-14622437014834134384640.000,29.955,57.585,0.154,0.018,1.556,1.638,0.175,0.115,0.007
5339.000,55.000,2767.000,-0.000,-14622437014834134384640.000,16.020,38.044,0.664,0.311,-0.459,-2.905,0.199,0.333,0.004
5339.000,55.000,2788.000,-0.000,-14622437014834134384640.000,18.291,59.212,0.000,0.000,-0.451,-2.814,0.400,0.458,0.005
5478.000,26.000,1307.000,-0.000,-14622437014834134384640.000,-99999.000,1455.586,0.200,0.031,0.011,0.075,0.216,0.993,0.120
5397.000,9.000,482.000,-0.000,-14622437014834134384640.000,0.072,252.714,0.000,0.462,-0.799,-1.139,0.448,0.609,0.035
5110.000,48.000,2424.000,-0.000,-14622437014834134384640.000,7.745,74.922,0.213,0.405,1.550,0.809,0.096,0.147,0.006
5602.000,78.000,3941.000,-0.000,-14622437014834134384640.000,162.398,79.938,0.020,0.374,-2.573,-2.260,0.032,-0.848,0.034
5368.000,108.000,5418.000,-0.000,-14622437014834134384640.000,17.948,334.263,0.175,0.051,0.940,1.495,0.421,0.674,0.029
5622.000,5.000,269.000,-0.000,-14622437014834134384640.000,0.150,812.033,0.000,0.003,-0.976,-1.678,0.244,0.459,0.004
